Asset_ID,Hostname,Asset_Type,Manufacturer,Model,Serial_Number,Purchase_Date,Install_Date,Warranty_End_Date,Purchase_Cost,Location_ID,Business_Unit_ID,Environment,Assigned_Owner_ID,Asset_Operational_Status,Inventory_Source,Last_Discovered_Date,Model_Release_Date,Vendor_Support_End_Date,Standard_Refresh_Cycle_Years,Standard_Replacement_Cost,Asset_Age_Years,Warranty_Status,Months_To_EOL,Lifecycle_Status,Past_EOL_Flag,Expiring_12M_Flag,Expiring_24M_Flag,Expiring_36M_Flag,Replacement_Cost,Open_Vulnerability_Count,Critical_Vulnerability_Count,High_Vulnerability_Count,Incident_Count,Downtime_Hours,Lifecycle_Risk_Score,Refresh_Priority
A0000001,LTP-000001,Laptop,Lenovo,ThinkPad T14 Gen 3,LTPWHL37PDJZU,2020-09-28,2020-10-18,2023-09-28,1214.85,TOR006,BU010,Branch,E007972,In Use,Network Discovery,2026-05-31,2022-04-01,2027-04-01,4,1450,5.62,Warranty Expired,10.0,Expiring in 12 Months,0,1,0,0,1450,0,0,0,4,20.99,27.05,Low
A0000002,LTP-000002,Laptop,Dell,Latitude 7440,LTP0177439X84,2019-05-13,2019-06-22,2022-05-12,1547.2,QUE020,BU001,Production,E016983,In Use,SCCM,2026-05-31,2023-05-01,2029-05-01,4,1650,6.95,Warranty Expired,35.0,Expiring in 36 Months,0,0,0,1,1650,1,0,0,4,32.29,14.61,Low
A0000003,LTP-000003,Laptop,Dell,Latitude 7440,LTP6UAVMZWQL4,2024-06-19,2024-07-20,2029-06-18,1413.86,GTA062,BU001,Branch,E016106,In Use,ServiceNow CMDB,2026-05-31,2023-05-01,2029-05-01,4,1650,1.87,Under Warranty,35.0,Expiring in 36 Months,0,0,0,1,1650,1,0,0,4,52.69,15.63,Low
A0000004,LTP-000004,Laptop,Dell,Latitude 7440,LTP0U32AYMYUB,2021-10-25,2021-12-09,2026-10-24,1229.69,ATL008,BU001,Production,E010422,In Use,ServiceNow CMDB,2026-05-31,2023-05-01,2029-05-01,4,1650,4.48,Under Warranty,35.0,Expiring in 36 Months,0,0,0,1,1650,0,0,0,4,18.44,13.92,Low
A0000005,LTP-000005,Laptop,Dell,Latitude 5430,LTPW5YO81UWGD,2019-05-10,2019-06-08,2023-05-09,1043.67,GTA062,BU009,Corporate,E021939,In Use,SCCM,2026-05-31,2022-03-01,2029-03-01,4,1350,6.98,Warranty Expired,33.0,Expiring in 36 Months,0,0,0,1,1350,0,0,0,5,32.75,16.64,Low
A0000006,LTP-000006,Laptop,Lenovo,ThinkPad T14 Gen 2,LTP5M9QAMQGQB,2023-07-20,2023-08-24,2028-07-18,1089.81,GTA027,BU002,Production,E000138,In Use,SCCM,2026-05-31,2021-02-01,2027-09-01,4,1300,2.77,Under Warranty,15.0,Expiring in 24 Months,0,0,1,0,1300,0,0,0,1,11.85,12.59,Low
A0000007,LTP-000007,Laptop,HP,EliteBook 850 G9,LTP0BRG27H7QS,2018-03-10,2018-04-07,2022-03-09,1371.25,GTA073,BU001,Branch,E005795,In Use,SCCM,2026-05-31,2022-05-01,2027-05-01,4,1500,8.15,Warranty Expired,10.9,Expiring in 12 Months,0,1,0,0,1500,0,0,0,6,37.63,31.88,Medium
A0000008,LTP-000008,Laptop,Dell,Latitude 7440,LTP3MS0C5A81M,2021-07-24,2021-07-30,2024-07-23,1171.78,WST008,BU004,Non-Production,E020206,In Use,SCCM,2026-05-31,2023-05-01,2029-05-01,4,1650,4.84,Warranty Expired,35.0,Expiring in 36 Months,0,0,0,1,1650,1,0,1,4,40.15,19.01,Low
A0000009,LTP-000009,Laptop,Dell,Latitude 5420,LTPE8CKPCKZUL,2022-11-08,2022-12-06,2026-11-07,989.35,ONR014,BU010,Corporate,E001414,In Use,ServiceNow CMDB,2026-05-31,2021-03-01,2027-06-01,4,1250,3.49,Under Warranty,12.0,Expiring in 12 Months,0,1,0,0,1250,1,1,0,3,22.33,33.12,Medium
A0000010,LTP-000010,Laptop,Dell,Latitude 5420,LTPP9OQU1IVPL,2020-08-22,2020-09-27,2024-08-21,972.35,ATL012,BU001,Branch,E006772,In Use,ServiceNow CMDB,2026-05-31,2021-03-01,2027-06-01,4,1250,5.68,Warranty Expired,12.0,Expiring in 12 Months,0,1,0,0,1250,1,0,1,0,0.0,22.0,Low
