Asset_ID,Hostname,Asset_Type,Manufacturer,Model,Serial_Number,Purchase_Date,Install_Date,Warranty_End_Date,Purchase_Cost,Location_ID,Business_Unit_ID,Environment,Assigned_Owner_ID,Asset_Operational_Status,Inventory_Source,Last_Discovered_Date,Model_Release_Date,Vendor_Support_End_Date,Standard_Refresh_Cycle_Years,Standard_Replacement_Cost,Asset_Age_Years,Warranty_Status,Months_To_EOL,Lifecycle_Status,Past_EOL_Flag,Expiring_12M_Flag,Expiring_24M_Flag,Expiring_36M_Flag,Replacement_Cost,Open_Vulnerability_Count,Critical_Vulnerability_Count,High_Vulnerability_Count,Incident_Count,Downtime_Hours,Lifecycle_Risk_Score,Refresh_Priority,Remediation_Priority,Cyber_Risk_Category
A0000009,LTP-000009,Laptop,Dell,Latitude 5420,LTPE8CKPCKZUL,2022-11-08,2022-12-06,2026-11-07,989.35,ONR014,BU010,Corporate,E001414,In Use,ServiceNow CMDB,2026-05-31,2021-03-01,2027-06-01,4,1250,3.49,Under Warranty,12.0,Expiring in 12 Months,0,1,0,0,1250,1,1,0,3,22.33,33.12,Medium,Accelerated,End User Computing / Branch
A0000030,LTP-000030,Laptop,HP,EliteBook 840 G8,LTP2TZHVAC2LM,2024-03-13,2024-04-12,2028-03-12,1102.22,ATL010,BU004,Branch,E002948,In Repair,ServiceNow CMDB,2026-05-31,2021-01-01,2026-01-01,4,1300,2.14,Under Warranty,-5.0,Past EOL,1,0,0,0,1300,1,1,0,3,18.21,49.91,Medium,Immediate,End User Computing / Branch
A0000047,LTP-000047,Laptop,HP,EliteBook 850 G9,LTPHOQAHKGLHO,2019-10-29,2019-11-08,2022-10-28,1144.66,QUE009,BU010,Branch,E005257,In Use,ServiceNow CMDB,2026-05-31,2022-05-01,2027-05-01,4,1500,6.57,Warranty Expired,10.9,Expiring in 12 Months,0,1,0,0,1500,2,1,0,3,18.25,32.91,Medium,Accelerated,End User Computing / Branch
A0000058,LTP-000058,Laptop,Dell,Latitude 5420,LTPE3NFY2OGVO,2020-07-17,2020-08-20,2023-07-17,831.25,QUE024,BU004,Production,E016093,In Use,ServiceNow CMDB,2026-05-31,2021-03-01,2027-06-01,4,1250,5.78,Warranty Expired,12.0,Expiring in 12 Months,0,1,0,0,1250,1,1,0,5,28.99,37.45,Medium,Accelerated,End User Computing / Branch
A0000095,LTP-000095,Laptop,Dell,Latitude 5420,LTPU81PX27CJT,2018-09-02,2018-10-02,2021-09-01,1077.61,GTA019,BU003,Branch,E013430,In Use,Network Discovery,2026-05-31,2021-03-01,2027-06-01,4,1250,7.67,Warranty Expired,12.0,Expiring in 12 Months,0,1,0,0,1250,1,1,0,4,25.01,35.25,Medium,Accelerated,End User Computing / Branch
A0000112,LTP-000112,Laptop,Dell,Latitude 5420,LTPQBTFW4SJCM,2018-01-03,2018-02-11,2021-01-02,1133.38,ONR020,BU002,Production,E016742,In Use,SCCM,2026-05-31,2021-03-01,2027-06-01,4,1250,8.3,Warranty Expired,12.0,Expiring in 12 Months,0,1,0,0,1250,2,1,1,7,60.1,47.0,Medium,Accelerated,End User Computing / Branch
A0000116,LTP-000116,Laptop,Dell,Latitude 5420,LTPTT0X08U7U6,2019-03-31,2019-04-22,2023-03-30,1127.09,QUE021,BU004,Production,E017765,In Use,ServiceNow CMDB,2026-05-31,2021-03-01,2027-06-01,4,1250,7.11,Warranty Expired,12.0,Expiring in 12 Months,0,1,0,0,1250,2,1,0,2,8.92,30.45,Medium,Accelerated,End User Computing / Branch
A0000117,LTP-000117,Laptop,Dell,Latitude 5420,LTPA7HQ7I5MAL,2020-07-31,2020-08-30,2023-07-31,1167.81,GTA080,BU003,Non-Production,E009677,In Use,SCCM,2026-05-31,2021-03-01,2027-06-01,4,1250,5.75,Warranty Expired,12.0,Expiring in 12 Months,0,1,0,0,1250,1,1,0,2,10.66,30.53,Medium,Accelerated,End User Computing / Branch
A0000119,LTP-000119,Laptop,HP,EliteBook 850 G9,LTPBCCU5IJVYC,2018-05-29,2018-06-19,2021-05-28,995.11,GTA069,BU001,Production,E005991,Retired Pending Disposal,Intune,2026-05-31,2022-05-01,2027-05-01,4,1500,7.95,Warranty Expired,10.9,Expiring in 12 Months,0,1,0,0,1500,1,1,0,2,10.79,30.54,Medium,Accelerated,End User Computing / Branch
A0000121,LTP-000121,Laptop,Lenovo,ThinkPad T14 Gen 3,LTPCDUK98SCST,2019-01-27,2019-01-30,2024-01-26,1321.22,QUE023,BU006,Production,E014146,In Use,ServiceNow CMDB,2026-05-31,2022-04-01,2027-04-01,4,1450,7.34,Warranty Expired,10.0,Expiring in 12 Months,0,1,0,0,1450,1,1,0,6,38.2,39.91,Medium,Accelerated,End User Computing / Branch
A0000138,LTP-000138,Laptop,Dell,Latitude 5420,LTP7OG9TTCKK5,2018-06-23,2018-07-21,2021-06-22,1063.64,ATL010,BU001,Production,E009111,In Use,ServiceNow CMDB,2026-05-31,2021-03-01,2027-06-01,4,1250,7.87,Warranty Expired,12.0,Expiring in 12 Months,0,1,0,0,1250,1,1,0,7,37.6,41.88,Medium,Accelerated,End User Computing / Branch
