Resource_ID,Cloud_Platform,Service_Name,Subscription_ID,Resource_Group,Creation_Date,Business_Unit_ID,Environment,Resource_Type
CLOUD000001,AWS,RDS,SUB-001,rg-000,2021-02-19,BU009,Production,Container
CLOUD000002,AWS,Azure Kubernetes Service,SUB-002,rg-001,2021-06-29,BU003,Production,Container
CLOUD000003,AWS,Azure Kubernetes Service,SUB-003,rg-002,2019-02-23,BU001,Production,VM
CLOUD000004,AWS,EKS,SUB-004,rg-003,2019-07-24,BU002,Non-Production,VM
CLOUD000005,AWS,EKS,SUB-005,rg-004,2018-12-19,BU002,Production,VM
CLOUD000006,Azure,EKS,SUB-006,rg-005,2021-10-09,BU002,Production,Data Pipeline
CLOUD000007,Azure,Azure Data Factory,SUB-007,rg-006,2022-04-09,BU002,Non-Production,Database
CLOUD000008,AWS,S3,SUB-008,rg-007,2019-10-19,BU002,Non-Production,Data Pipeline
CLOUD000009,Azure,RDS,SUB-009,rg-008,2026-02-09,BU007,Production,VM
CLOUD000010,Azure,EKS,SUB-010,rg-009,2018-04-10,BU005,Production,Database
CLOUD000011,Azure,RDS,SUB-011,rg-010,2026-04-10,BU002,Production,VM
CLOUD000012,Azure,Azure SQL Database,SUB-012,rg-011,2018-02-28,BU002,Production,Container
CLOUD000013,Azure,RDS,SUB-013,rg-012,2018-12-25,BU002,Production,Storage
CLOUD000014,Azure,EKS,SUB-014,rg-013,2025-09-25,BU005,Non-Production,VM
CLOUD000015,Azure,Azure SQL Database,SUB-015,rg-014,2024-04-20,BU001,Non-Production,Storage
CLOUD000016,AWS,Virtual Machines,SUB-016,rg-015,2025-04-20,BU001,Production,Container
CLOUD000017,Azure,Azure SQL Database,SUB-017,rg-016,2025-06-05,BU002,DR,VM
CLOUD000018,AWS,S3,SUB-018,rg-017,2022-05-02,BU005,Production,Data Pipeline
CLOUD000019,Azure,Virtual Machines,SUB-019,rg-018,2018-06-01,BU010,Production,Database
CLOUD000020,Azure,Azure Kubernetes Service,SUB-020,rg-019,2023-02-23,BU001,Production,VM
CLOUD000021,Azure,EKS,SUB-021,rg-020,2019-08-19,BU002,Production,VM
CLOUD000022,Azure,RDS,SUB-022,rg-021,2021-01-19,BU007,Production,Database
CLOUD000023,Azure,EKS,SUB-023,rg-022,2021-05-19,BU002,Non-Production,Container
CLOUD000024,AWS,S3,SUB-024,rg-023,2024-02-26,BU003,DR,Container
CLOUD000025,AWS,EKS,SUB-025,rg-024,2022-03-13,BU002,DR,Data Pipeline
CLOUD000026,Azure,Azure Data Factory,SUB-026,rg-025,2018-09-18,BU005,Production,Container
CLOUD000027,Azure,Virtual Machines,SUB-027,rg-026,2018-05-15,BU001,Non-Production,Data Pipeline
CLOUD000028,Azure,EC2,SUB-028,rg-027,2025-06-04,BU002,Production,Data Pipeline
CLOUD000029,Azure,S3,SUB-029,rg-028,2026-04-21,BU007,Production,VM
CLOUD000030,Azure,Azure Kubernetes Service,SUB-030,rg-029,2024-12-04,BU003,Non-Production,Container
CLOUD000031,AWS,Azure SQL Database,SUB-031,rg-030,2018-07-06,BU005,Non-Production,Data Pipeline
CLOUD000032,AWS,EC2,SUB-032,rg-031,2025-10-14,BU008,Production,VM
CLOUD000033,Azure,Azure SQL Database,SUB-033,rg-032,2021-08-13,BU002,Production,Storage
CLOUD000034,AWS,Azure Data Factory,SUB-034,rg-033,2021-06-07,BU003,Non-Production,Storage
CLOUD000035,AWS,RDS,SUB-035,rg-034,2026-01-26,BU010,Production,Storage
CLOUD000036,Azure,EKS,SUB-036,rg-035,2025-09-12,BU002,DR,Database
CLOUD000037,Azure,Azure Data Factory,SUB-037,rg-036,2018-12-29,BU002,Production,Storage
CLOUD000038,Azure,RDS,SUB-038,rg-037,2024-01-14,BU003,Production,Storage
CLOUD000039,AWS,Azure Kubernetes Service,SUB-039,rg-038,2022-01-27,BU001,Production,Container
CLOUD000040,Azure,Azure Kubernetes Service,SUB-040,rg-039,2019-10-30,BU002,DR,Data Pipeline
CLOUD000041,Azure,Virtual Machines,SUB-001,rg-040,2021-08-13,BU001,Production,Storage
CLOUD000042,AWS,S3,SUB-002,rg-041,2018-04-02,BU003,Production,Database
CLOUD000043,Azure,EKS,SUB-003,rg-042,2025-04-05,BU002,Production,VM
