Installation_ID,Asset_ID,Publisher,Software_Name,Software_Version,Install_Date,Discovery_Source,License_Metric,Last_Seen_Date
SWI00000001,A0000001,Adobe,Adobe Acrobat Pro 2020,20,2020-10-18,SCCM,Device,2026-05-31
SWI00000002,A0000001,Google,Google Chrome,124,2020-10-18,SCCM,Device,2026-05-31
SWI00000003,A0000001,Adobe,Adobe Acrobat Pro 2020,20,2020-10-18,Intune,Enterprise,2026-05-31
SWI00000004,A0000001,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2020-10-18,SCCM,Enterprise,2026-05-31
SWI00000005,A0000001,Microsoft,Windows 11 Enterprise,23H2,2020-10-18,SCCM,Device,2026-05-31
SWI00000006,A0000002,Microsoft,Windows 10 Enterprise,22H2,2019-06-22,SCCM,User,2026-05-31
SWI00000007,A0000002,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2019-06-22,Intune,Device,2026-05-31
SWI00000008,A0000002,Adobe,Adobe Acrobat Pro 2020,20,2019-06-22,Intune,Device,2026-05-31
SWI00000009,A0000002,Adobe,Adobe Acrobat Pro 2020,20,2019-06-22,SCCM,Enterprise,2026-05-31
SWI00000010,A0000002,Microsoft,Windows 11 Enterprise,23H2,2019-06-22,Intune,Enterprise,2026-05-31
SWI00000011,A0000003,Microsoft,OneDrive,24.x,2024-07-20,SCCM,Enterprise,2026-05-31
SWI00000012,A0000003,Microsoft,Microsoft Teams Classic,1.6,2024-07-20,Tanium,Device,2026-05-31
SWI00000013,A0000003,Microsoft,OneDrive,24.x,2024-07-20,SCCM,Open Source,2026-05-31
SWI00000014,A0000003,Mozilla,Firefox ESR,115,2024-07-20,SCCM,Open Source,2026-05-31
SWI00000015,A0000003,Google,Google Chrome,124,2024-07-20,Intune,Device,2026-05-31
SWI00000016,A0000004,Microsoft,Windows 11 Enterprise,23H2,2021-12-09,SCCM,User,2026-05-31
SWI00000017,A0000004,Microsoft,Windows 10 Enterprise,22H2,2021-12-09,Intune,User,2026-05-31
SWI00000018,A0000004,Google,Google Chrome,124,2021-12-09,SCCM,User,2026-05-31
SWI00000019,A0000004,Mozilla,Firefox ESR,115,2021-12-09,SCCM,User,2026-05-31
SWI00000020,A0000004,Microsoft,Microsoft Teams Classic,1.6,2021-12-09,Tanium,Device,2026-05-31
SWI00000021,A0000005,Mozilla,Firefox ESR,115,2019-06-08,SCCM,Enterprise,2026-05-31
SWI00000022,A0000005,Mozilla,Firefox ESR,115,2019-06-08,SCCM,User,2026-05-31
SWI00000023,A0000005,Adobe,Adobe Acrobat Pro 2020,20,2019-06-08,SCCM,Device,2026-05-31
SWI00000024,A0000005,Microsoft,Windows 11 Enterprise,23H2,2019-06-08,Intune,User,2026-05-31
SWI00000025,A0000005,Microsoft,OneDrive,24.x,2019-06-08,Tanium,Open Source,2026-05-31
SWI00000026,A0000006,Microsoft,Windows 10 Enterprise,22H2,2023-08-24,SCCM,Enterprise,2026-05-31
SWI00000027,A0000006,Microsoft,OneDrive,24.x,2023-08-24,Intune,Enterprise,2026-05-31
SWI00000028,A0000006,Google,Google Chrome,124,2023-08-24,Intune,Device,2026-05-31
SWI00000029,A0000006,Mozilla,Firefox ESR,115,2023-08-24,SCCM,User,2026-05-31
SWI00000030,A0000006,Microsoft,OneDrive,24.x,2023-08-24,Tanium,Device,2026-05-31
SWI00000031,A0000006,Python Software Foundation,Python,3.10,2023-08-24,Intune,Device,2026-05-31
SWI00000032,A0000006,Jenkins,Jenkins,2.401 LTS,2023-08-24,SCCM,Enterprise,2026-05-31
SWI00000033,A0000006,Git,Git,2.43,2023-08-24,Server Discovery,Device,2026-05-31
SWI00000034,A0000006,Microsoft,.NET,8,2023-08-24,Intune,User,2026-05-31
SWI00000035,A0000007,Microsoft,Windows 11 Enterprise,23H2,2018-04-07,Intune,Device,2026-05-31
SWI00000036,A0000007,Adobe,Adobe Acrobat Pro 2020,20,2018-04-07,SCCM,User,2026-05-31
SWI00000037,A0000007,Microsoft,Windows 10 Enterprise,22H2,2018-04-07,SCCM,Device,2026-05-31
SWI00000038,A0000007,Google,Google Chrome,124,2018-04-07,SCCM,Device,2026-05-31
SWI00000039,A0000007,Google,Google Chrome,124,2018-04-07,Intune,Device,2026-05-31
SWI00000040,A0000008,Microsoft,OneDrive,24.x,2021-07-30,SCCM,Enterprise,2026-05-31
SWI00000041,A0000008,Microsoft,Windows 11 Enterprise,23H2,2021-07-30,SCCM,Enterprise,2026-05-31
SWI00000042,A0000008,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2021-07-30,SCCM,Enterprise,2026-05-31
SWI00000043,A0000008,Adobe,Adobe Acrobat Pro 2020,20,2021-07-30,SCCM,User,2026-05-31
SWI00000044,A0000008,Microsoft,OneDrive,24.x,2021-07-30,SCCM,Device,2026-05-31
SWI00000045,A0000009,Google,Google Chrome,124,2022-12-06,Intune,Device,2026-05-31
SWI00000046,A0000009,Microsoft,OneDrive,24.x,2022-12-06,SCCM,Enterprise,2026-05-31
SWI00000047,A0000009,Microsoft,OneDrive,24.x,2022-12-06,Server Discovery,Device,2026-05-31
SWI00000048,A0000009,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2022-12-06,SCCM,Device,2026-05-31
SWI00000049,A0000009,Mozilla,Firefox ESR,115,2022-12-06,SCCM,Open Source,2026-05-31
SWI00000050,A0000010,Microsoft,Microsoft Teams Classic,1.6,2020-09-27,SCCM,User,2026-05-31
SWI00000051,A0000010,Adobe,Adobe Acrobat Pro 2020,20,2020-09-27,Server Discovery,User,2026-05-31
SWI00000052,A0000010,Adobe,Adobe Acrobat Pro 2020,20,2020-09-27,Server Discovery,Open Source,2026-05-31
