Fiscal_Year,Business_Unit_ID,Budget_Type,Allocated_Amount
2026,BU001,Hardware Refresh,5614139.97
2026,BU001,Software Remediation,8134330.4
2026,BU001,Cloud Modernization,3507592.74
2026,BU001,Security Remediation,7565689.35
2026,BU002,Hardware Refresh,5418964.63
2026,BU002,Software Remediation,2361233.92
2026,BU002,Cloud Modernization,8225346.75
2026,BU002,Security Remediation,2459564.88
2026,BU003,Hardware Refresh,6082684.62
2026,BU003,Software Remediation,3647828.82
2026,BU003,Cloud Modernization,8294164.73
2026,BU003,Security Remediation,4793911.19
2026,BU004,Hardware Refresh,6925119.75
2026,BU004,Software Remediation,4407488.23
2026,BU004,Cloud Modernization,6507408.07
2026,BU004,Security Remediation,2596554.82
2026,BU005,Hardware Refresh,1623511.29
2026,BU005,Software Remediation,5282971.17
2026,BU005,Cloud Modernization,2553480.56
2026,BU005,Security Remediation,2365761.84
2026,BU006,Hardware Refresh,5794144.08
2026,BU006,Software Remediation,3320036.16
2026,BU006,Cloud Modernization,6443647.91
2026,BU006,Security Remediation,4377820.22
2026,BU007,Hardware Refresh,6407536.26
2026,BU007,Software Remediation,7930199.95
2026,BU007,Cloud Modernization,1645448.14
2026,BU007,Security Remediation,6529358.04
2026,BU008,Hardware Refresh,762798.74
2026,BU008,Software Remediation,4351202.14
2026,BU008,Cloud Modernization,2938657.87
2026,BU008,Security Remediation,3808299.48
2026,BU009,Hardware Refresh,8098856.09
2026,BU009,Software Remediation,787674.66
2026,BU009,Cloud Modernization,7127914.17
2026,BU009,Security Remediation,2798030.49
2026,BU010,Hardware Refresh,6315652.94
2026,BU010,Software Remediation,7150672.68
2026,BU010,Cloud Modernization,8086231.78
2026,BU010,Security Remediation,6218058.68
2027,BU001,Hardware Refresh,1688442.55
2027,BU001,Software Remediation,5132131.31
2027,BU001,Cloud Modernization,7433001.99
2027,BU001,Security Remediation,7509155.13
2027,BU002,Hardware Refresh,797036.84
2027,BU002,Software Remediation,2762405.57
2027,BU002,Cloud Modernization,2347151.66
2027,BU002,Security Remediation,8218237.5
2027,BU003,Hardware Refresh,3404567.61
2027,BU003,Software Remediation,4909785.82
2027,BU003,Cloud Modernization,5190477.54
2027,BU003,Security Remediation,7284530.48
2027,BU004,Hardware Refresh,5379735.75
2027,BU004,Software Remediation,4752793.81
2027,BU004,Cloud Modernization,4953740.76
2027,BU004,Security Remediation,7214075.16
2027,BU005,Hardware Refresh,4059031.82
2027,BU005,Software Remediation,7207068.52
2027,BU005,Cloud Modernization,2980361.65
2027,BU005,Security Remediation,7943534.39
2027,BU006,Hardware Refresh,5800909.73
2027,BU006,Software Remediation,5638588.37
2027,BU006,Cloud Modernization,8030339.28
2027,BU006,Security Remediation,5536294.26
2027,BU007,Hardware Refresh,5207604.45
