Fiscal_Year,Asset_Category,Region,Budget_Allocated_CAD,Forecast_Replacement_Cost_CAD,Maintenance_Cost_CAD,Support_Cost_CAD
2024,Endpoint,Toronto HQ,4350218,2139016,2034849,293907
2024,Endpoint,GTA Branches,427331,2305846,2359590,1400693
2024,Endpoint,Ontario Regional,1442652,2683486,2495569,1482479
2024,Endpoint,Western Canada,4431590,2408468,845995,2491794
2024,Endpoint,Quebec,720869,2734215,1630244,2030255
2024,Endpoint,Atlantic Canada,4193742,646074,776651,1957950
2024,Endpoint,Data Centre,2066817,2908789,1399447,1426067
2024,Endpoint,DR Site,4990453,3661294,1628537,1678104
2024,Server,Toronto HQ,1242064,2555418,886418,1948947
2024,Server,GTA Branches,3395281,2131075,2291830,1913059
2024,Server,Ontario Regional,4023234,1827400,134021,921000
2024,Server,Western Canada,4779790,214881,1570986,2533806
2024,Server,Quebec,1451766,1172959,833713,1413655
2024,Server,Atlantic Canada,1174353,3620392,1143148,1785885
2024,Server,Data Centre,2274653,797832,1069166,1940419
2024,Server,DR Site,1575826,2302614,669035,2662597
2024,Network,Toronto HQ,2476275,3901752,1975238,1732144
2024,Network,GTA Branches,3764946,3858991,1296828,2722467
2024,Network,Ontario Regional,2548178,3726022,183453,1394876
2024,Network,Western Canada,2082654,3626433,144393,2891351
2024,Network,Quebec,4289290,1822049,2341202,1862007
2024,Network,Atlantic Canada,3245975,1998727,983608,1992941
2024,Network,Data Centre,1534508,1283671,1555782,2262161
2024,Network,DR Site,213550,3109623,1807193,2944965
2024,Storage,Toronto HQ,180010,1141917,905641,1876823
2024,Storage,GTA Branches,281925,3890554,1650528,81782
2024,Storage,Ontario Regional,2013127,3355273,719662,2059349
2024,Storage,Western Canada,368159,359851,1745892,203541
2024,Storage,Quebec,2911767,3769875,2214837,1683046
2024,Storage,Atlantic Canada,2419883,738534,1989493,2838341
2024,Storage,Data Centre,4645364,3964978,1926120,1203805
2024,Storage,DR Site,2294348,626536,2051833,1394152
2024,Cloud,Toronto HQ,1393769,2401464,878845,2672517
2024,Cloud,GTA Branches,4683798,1388082,1664830,771985
2024,Cloud,Ontario Regional,2402358,1266648,971607,1974178
2024,Cloud,Western Canada,3597221,670783,1769213,567473
2024,Cloud,Quebec,499335,2969173,156687,359479
2024,Cloud,Atlantic Canada,1893417,1374222,676463,1355083
2024,Cloud,Data Centre,1658853,3430942,2137308,2992314
2024,Cloud,DR Site,4054271,194656,1772365,776725
2024,Software,Toronto HQ,246068,1793919,1610599,2421449
2024,Software,GTA Branches,4568286,2024573,2345474,1907593
2024,Software,Ontario Regional,2865111,1152624,103784,682722
2024,Software,Western Canada,340194,1773283,242385,1992236
2024,Software,Quebec,527665,1445527,1900983,297059
2024,Software,Atlantic Canada,959846,674962,695125,1321050
2024,Software,Data Centre,4694209,3131503,1818956,2460843
2024,Software,DR Site,2083670,701271,1074203,2752635
2024,Security Tooling,Toronto HQ,1694820,2205172,1828488,785555
2024,Security Tooling,GTA Branches,3981863,985940,2432224,2257556
2024,Security Tooling,Ontario Regional,230794,1310502,2010409,1824928
2024,Security Tooling,Western Canada,1982592,3289298,1753403,122278
2024,Security Tooling,Quebec,1480323,2224627,939644,551653
2024,Security Tooling,Atlantic Canada,3167619,1562131,1178706,2764634
2024,Security Tooling,Data Centre,1712838,748691,223760,2847108
2024,Security Tooling,DR Site,4684819,3517560,2496281,1045849
2024,Developer Tooling,Toronto HQ,3256493,759767,1931946,2114817
2024,Developer Tooling,GTA Branches,4234924,3634536,166866,535448
2024,Developer Tooling,Ontario Regional,4127714,431583,175250,2272591
2024,Developer Tooling,Western Canada,360982,3875014,426364,1648627
2024,Developer Tooling,Quebec,3562848,864142,1999794,2249156
2024,Developer Tooling,Atlantic Canada,1946844,2600549,808811,180094
2024,Developer Tooling,Data Centre,1944133,2824061,1452011,1574655
