Incident_ID,Asset_ID,Incident_Date,Incident_Type,Severity,Downtime_Hours,Root_Cause,Status
INC-00000001,AST-0021106,2024-12-08,Storage Alert,Low,0,Unknown,Resolved
INC-00000002,AST-0010399,2025-09-28,Hardware Failure,Low,0.59,Security Vulnerability,Closed
INC-00000003,AST-0012687,2024-12-23,Security Alert,High,3.59,Configuration Drift,Resolved
INC-00000004,AST-0004973,2025-10-17,Security Alert,High,3.98,Configuration Drift,Problem Created
INC-00000005,AST-0020635,2025-12-09,Storage Alert,Critical,12.28,Unsupported Software,Resolved
INC-00000006,AST-0001921,2024-10-25,Performance Degradation,Medium,0.06,Security Vulnerability,Open
INC-00000007,AST-0003023,2024-11-02,OS Issue,High,3.31,Capacity Issue,Resolved
INC-00000008,AST-0012623,2023-09-19,Performance Degradation,Low,2.0,Unsupported Software,Open
INC-00000009,AST-0021261,2023-06-24,Network Outage,Low,0,User Error,Open
INC-00000010,AST-0010684,2023-10-16,Hardware Failure,Low,0,Security Vulnerability,Open
INC-00000011,AST-0000449,2024-07-24,Application Error,High,4.07,Configuration Drift,Open
INC-00000012,AST-0014432,2024-09-20,Patch Failure,Low,1.57,Capacity Issue,Resolved
INC-00000013,AST-0022836,2023-09-27,Patch Failure,Medium,0.72,Vendor Bug,Closed
INC-00000014,AST-0004107,2024-09-14,Network Outage,Medium,2.09,Unsupported Software,Open
INC-00000015,AST-0018080,2025-08-18,Network Outage,Medium,0,Vendor Bug,Open
INC-00000016,AST-0021901,2024-04-24,Security Alert,Low,3.02,Configuration Drift,Open
INC-00000017,AST-0021664,2024-06-24,Network Outage,Low,0.86,Vendor Bug,Problem Created
INC-00000018,AST-0022497,2023-10-27,Hardware Failure,Low,0.75,Capacity Issue,Closed
INC-00000019,AST-0001391,2024-01-08,Security Alert,Medium,1.92,Unknown,Closed
INC-00000020,AST-0012770,2025-01-20,Storage Alert,Medium,4.71,Unknown,Open
INC-00000021,AST-0003363,2024-12-19,Application Error,Medium,1.55,Vendor Bug,Closed
INC-00000022,AST-0010525,2024-09-17,Performance Degradation,High,4.41,Unsupported Software,Open
INC-00000023,AST-0009043,2023-11-12,Performance Degradation,Medium,0,Configuration Drift,Problem Created
INC-00000024,AST-0011958,2024-07-10,Storage Alert,High,3.75,Vendor Bug,Resolved
INC-00000025,AST-0021247,2024-11-27,OS Issue,Medium,0,User Error,Resolved
INC-00000026,AST-0022370,2025-08-27,Patch Failure,Medium,3.82,Unsupported Software,Open
INC-00000027,AST-0003239,2024-06-18,Network Outage,Medium,0.18,Security Vulnerability,Resolved
INC-00000028,AST-0021926,2024-09-12,Storage Alert,Medium,1.7,User Error,Problem Created
INC-00000029,AST-0008908,2025-10-11,Patch Failure,Critical,11.27,Unsupported Software,Open
INC-00000030,AST-0007613,2024-10-19,Performance Degradation,High,1.02,Security Vulnerability,Problem Created
