Incident_ID,Asset_ID,Opened_DateTime,Closed_DateTime,Priority,Incident_State,Root_Cause_Category,Assignment_Group
INC00000001,A0000172,2026-03-15,2026-03-15 01:20:28.332437643,P3,Resolved,Software Defect,Service Desk
INC00000002,A0013955,2024-12-21,2024-12-21 00:39:05.681183655,P3,Closed,Capacity Issue,Service Desk
INC00000003,A0014385,2025-04-12,2025-04-12 06:02:30.252996067,P3,Closed,Capacity Issue,End User Computing
INC00000004,A0011610,2024-06-01,2024-06-01 01:44:31.464363458,P3,Closed,Patch Failure,Server Operations
INC00000005,A0009034,2024-09-12,2024-09-12 04:00:27.382893966,P4,Closed,User Error,Network Operations
INC00000006,A0007660,2024-03-24,2024-03-24 01:37:58.991951233,P3,Resolved,Hardware Failure,Application Support
INC00000007,A0013889,2024-03-25,2024-03-25 08:36:57.458709363,P4,Resolved,Patch Failure,Cybersecurity
INC00000008,A0004612,2024-08-04,2024-08-04 05:29:05.376068790,P3,Closed,Capacity Issue,End User Computing
INC00000009,A0003769,2025-03-25,2025-03-25 04:59:41.562592396,P4,Closed,Capacity Issue,Service Desk
INC00000010,A0008478,2024-03-11,2024-03-11 14:21:43.358879628,P3,Cancelled,Capacity Issue,Service Desk
INC00000011,A0019940,2026-01-02,2026-01-02 01:02:40.413815214,P4,Resolved,User Error,Server Operations
INC00000012,A0015563,2024-11-15,2024-11-15 05:49:06.446737419,P3,Closed,User Error,End User Computing
INC00000013,A0015734,2026-03-30,2026-03-30 03:56:39.011526794,P4,Resolved,Network Connectivity,Network Operations
INC00000014,A0009379,2025-08-21,2025-08-21 12:33:13.248772437,P3,Resolved,Unknown,Network Operations
INC00000015,A0002571,2024-01-10,2024-01-10 02:44:12.723830163,P4,Closed,User Error,Application Support
INC00000016,A0017322,2024-12-24,2024-12-24 03:44:08.803488991,P3,Resolved,Unknown,Application Support
INC00000017,A0007122,2026-04-07,2026-04-07 06:08:59.445030890,P3,Closed,Configuration Error,Server Operations
INC00000018,A0008751,2025-03-16,2025-03-16 04:19:15.558258025,P4,Closed,Patch Failure,End User Computing
INC00000019,A0012722,2025-07-28,2025-07-28 11:06:05.719256280,P3,Resolved,Software Defect,Server Operations
INC00000020,A0020689,2026-04-02,2026-04-02 10:20:41.016475154,P3,Closed,Capacity Issue,Service Desk
INC00000021,A0007675,2025-06-06,2025-06-06 07:59:17.847778905,P3,Resolved,Software Defect,Server Operations
INC00000022,A0002249,2024-06-23,2024-06-23 04:41:45.031508764,P3,Resolved,Patch Failure,Cybersecurity
INC00000023,A0013946,2024-11-30,2024-11-30 20:21:27.823025206,P4,Resolved,Unknown,Application Support
