Location_ID,Location_Name,Region,City,Country,Location_Type
LOC-0001,Toronto HQ 1,Toronto HQ,Toronto,Canada,Branch
LOC-0002,Toronto HQ 2,Toronto HQ,Toronto,Canada,Office
LOC-0003,Toronto HQ 3,Toronto HQ,Toronto,Canada,Office
LOC-0004,GTA Branches 1,GTA Branches,Richmond Hill,Canada,Branch
LOC-0005,GTA Branches 2,GTA Branches,Toronto,Canada,Branch
LOC-0006,GTA Branches 3,GTA Branches,Richmond Hill,Canada,Branch
LOC-0007,GTA Branches 4,GTA Branches,Richmond Hill,Canada,Branch
LOC-0008,GTA Branches 5,GTA Branches,Vaughan,Canada,Branch
LOC-0009,GTA Branches 6,GTA Branches,Toronto,Canada,Branch
LOC-0010,GTA Branches 7,GTA Branches,Vaughan,Canada,Branch
LOC-0011,GTA Branches 8,GTA Branches,Markham,Canada,Branch
LOC-0012,GTA Branches 9,GTA Branches,Toronto,Canada,Branch
LOC-0013,GTA Branches 10,GTA Branches,Toronto,Canada,Branch
LOC-0014,GTA Branches 11,GTA Branches,Toronto,Canada,Branch
LOC-0015,GTA Branches 12,GTA Branches,Mississauga,Canada,Branch
LOC-0016,GTA Branches 13,GTA Branches,Mississauga,Canada,Branch
LOC-0017,GTA Branches 14,GTA Branches,Vaughan,Canada,Branch
LOC-0018,GTA Branches 15,GTA Branches,Vaughan,Canada,Branch
LOC-0019,GTA Branches 16,GTA Branches,Toronto,Canada,Branch
LOC-0020,GTA Branches 17,GTA Branches,Vaughan,Canada,Branch
LOC-0021,GTA Branches 18,GTA Branches,Mississauga,Canada,Branch
LOC-0022,GTA Branches 19,GTA Branches,Richmond Hill,Canada,Branch
LOC-0023,GTA Branches 20,GTA Branches,Richmond Hill,Canada,Branch
LOC-0024,GTA Branches 21,GTA Branches,Richmond Hill,Canada,Branch
LOC-0025,GTA Branches 22,GTA Branches,Vaughan,Canada,Branch
LOC-0026,GTA Branches 23,GTA Branches,Markham,Canada,Branch
LOC-0027,GTA Branches 24,GTA Branches,Mississauga,Canada,Branch
LOC-0028,GTA Branches 25,GTA Branches,Markham,Canada,Branch
LOC-0029,GTA Branches 26,GTA Branches,Vaughan,Canada,Branch
LOC-0030,GTA Branches 27,GTA Branches,Brampton,Canada,Branch
LOC-0031,GTA Branches 28,GTA Branches,Oakville,Canada,Branch
LOC-0032,GTA Branches 29,GTA Branches,Oakville,Canada,Branch
LOC-0033,GTA Branches 30,GTA Branches,Toronto,Canada,Branch
LOC-0034,GTA Branches 31,GTA Branches,Oakville,Canada,Branch
LOC-0035,GTA Branches 32,GTA Branches,Oakville,Canada,Branch
LOC-0036,GTA Branches 33,GTA Branches,Mississauga,Canada,Branch
LOC-0037,GTA Branches 34,GTA Branches,Richmond Hill,Canada,Branch
LOC-0038,GTA Branches 35,GTA Branches,Markham,Canada,Branch
LOC-0039,GTA Branches 36,GTA Branches,Brampton,Canada,Branch
LOC-0040,GTA Branches 37,GTA Branches,Brampton,Canada,Branch
LOC-0041,GTA Branches 38,GTA Branches,Mississauga,Canada,Branch
LOC-0042,GTA Branches 39,GTA Branches,Mississauga,Canada,Branch
LOC-0043,GTA Branches 40,GTA Branches,Oakville,Canada,Branch
LOC-0044,GTA Branches 41,GTA Branches,Brampton,Canada,Branch
LOC-0045,GTA Branches 42,GTA Branches,Toronto,Canada,Branch
LOC-0046,GTA Branches 43,GTA Branches,Toronto,Canada,Branch
LOC-0047,GTA Branches 44,GTA Branches,Markham,Canada,Branch
LOC-0048,GTA Branches 45,GTA Branches,Toronto,Canada,Branch
LOC-0049,GTA Branches 46,GTA Branches,Brampton,Canada,Branch
LOC-0050,GTA Branches 47,GTA Branches,Oakville,Canada,Branch
LOC-0051,GTA Branches 48,GTA Branches,Brampton,Canada,Branch
LOC-0052,GTA Branches 49,GTA Branches,Vaughan,Canada,Branch
LOC-0053,GTA Branches 50,GTA Branches,Brampton,Canada,Branch
LOC-0054,GTA Branches 51,GTA Branches,Oakville,Canada,Branch
LOC-0055,GTA Branches 52,GTA Branches,Toronto,Canada,Branch
LOC-0056,GTA Branches 53,GTA Branches,Richmond Hill,Canada,Branch
LOC-0057,GTA Branches 54,GTA Branches,Markham,Canada,Branch
LOC-0058,GTA Branches 55,GTA Branches,Vaughan,Canada,Branch
LOC-0059,GTA Branches 56,GTA Branches,Toronto,Canada,Branch
LOC-0060,GTA Branches 57,GTA Branches,Markham,Canada,Branch
LOC-0061,GTA Branches 58,GTA Branches,Toronto,Canada,Branch
LOC-0062,GTA Branches 59,GTA Branches,Vaughan,Canada,Branch
LOC-0063,GTA Branches 60,GTA Branches,Brampton,Canada,Branch
LOC-0064,GTA Branches 61,GTA Branches,Oakville,Canada,Branch
LOC-0065,GTA Branches 62,GTA Branches,Richmond Hill,Canada,Branch
LOC-0066,GTA Branches 63,GTA Branches,Vaughan,Canada,Branch
LOC-0067,GTA Branches 64,GTA Branches,Oakville,Canada,Branch
LOC-0068,GTA Branches 65,GTA Branches,Brampton,Canada,Branch
LOC-0069,GTA Branches 66,GTA Branches,Vaughan,Canada,Branch
LOC-0070,GTA Branches 67,GTA Branches,Mississauga,Canada,Branch
LOC-0071,GTA Branches 68,GTA Branches,Richmond Hill,Canada,Branch
LOC-0072,GTA Branches 69,GTA Branches,Toronto,Canada,Branch
LOC-0073,GTA Branches 70,GTA Branches,Toronto,Canada,Branch
LOC-0074,GTA Branches 71,GTA Branches,Richmond Hill,Canada,Branch
LOC-0075,GTA Branches 72,GTA Branches,Mississauga,Canada,Branch
LOC-0076,GTA Branches 73,GTA Branches,Oakville,Canada,Branch
LOC-0077,GTA Branches 74,GTA Branches,Brampton,Canada,Branch
LOC-0078,GTA Branches 75,GTA Branches,Toronto,Canada,Branch
