Project_ID,Asset_ID,Asset_Type,Current_Lifecycle_Status,Refresh_Year,Planned_Refresh_Date,Actual_Refresh_Date,Budget_Estimate_CAD,Project_Status,Constraint_or_Blocker
PRJ-000001,AST-0003650,Laptop,EOL within 24 months,2026,2026-07-06,,1662.73,Planning,Branch Scheduling
PRJ-000002,AST-0014557,Desktop,EOL within 24 months,2028,2028-06-05,,952.42,Not Started,Branch Scheduling
PRJ-000003,AST-0008556,Laptop,EOL within 24 months,2027,2027-01-10,,1812.42,Deferred,None
PRJ-000004,AST-0023154,Firewall,EOL within 24 months,2028,2028-01-08,,8877.94,Deferred,Security Exception
PRJ-000005,AST-0017723,Desktop,EOL within 24 months,2028,2028-02-04,,1244.56,Planning,Security Exception
PRJ-000006,AST-0002315,Laptop,Past EOL,2026,2026-10-12,,1572.2,Planning,Application Dependency
PRJ-000007,AST-0018403,Desktop,EOL within 24 months,2026,2026-06-05,,994.68,Planning,Security Exception
PRJ-000008,AST-0013076,Laptop,Past EOL,2028,2028-06-29,,1401.61,In Progress,Change Freeze
PRJ-000009,AST-0012058,Laptop,EOL within 24 months,2028,2028-05-06,,3301.33,Planning,Branch Scheduling
PRJ-000010,AST-0002415,Laptop,EOL within 12 months,2027,2027-03-15,,1513.85,Planning,None
PRJ-000011,AST-0019444,VDI Endpoint,EOL within 24 months,2028,2028-11-06,,822.35,In Progress,Application Dependency
PRJ-000012,AST-0012258,Laptop,EOL within 24 months,2026,2026-11-03,,1900.24,Not Started,Application Dependency
PRJ-000013,AST-0015717,Desktop,EOL within 24 months,2027,2027-05-18,,958.89,In Progress,Application Dependency
PRJ-000014,AST-0011147,Laptop,Past EOL,2027,2027-07-13,,1745.95,In Progress,Change Freeze
PRJ-000015,AST-0010175,Laptop,EOL within 24 months,2027,2027-08-30,,3348.7,In Progress,Budget Approval
PRJ-000016,AST-0002418,Laptop,Past EOL,2026,2026-12-12,,1945.6,Not Started,None
PRJ-000017,AST-0007234,Laptop,EOL within 24 months,2027,2027-06-08,2027-05-29,1691.96,Completed,Branch Scheduling
PRJ-000018,AST-0004028,Laptop,Past EOL,2027,2027-08-19,,1514.32,Deferred,Vendor Lead Time
PRJ-000019,AST-0002928,Laptop,Past EOL,2028,2028-03-23,,1399.31,Not Started,Budget Approval
PRJ-000020,AST-0004357,Laptop,Past EOL,2026,2026-09-23,,1859.55,Deferred,Vendor Lead Time
PRJ-000021,AST-0002340,Laptop,EOL within 12 months,2028,2028-04-24,,1517.96,Not Started,Application Dependency
PRJ-000022,AST-0006734,Laptop,EOL within 12 months,2028,2028-10-07,,1567.8,Planning,Budget Approval
PRJ-000023,AST-0000603,Laptop,EOL within 12 months,2027,2027-06-08,,2171.36,Not Started,Vendor Lead Time
PRJ-000024,AST-0009754,Laptop,Past EOL,2028,2028-07-28,,1605.1,Not Started,Vendor Lead Time
PRJ-000025,AST-0017586,Desktop,EOL within 12 months,2028,2028-03-05,2028-03-22,1161.88,Completed,Application Dependency
PRJ-000026,AST-0019009,VDI Endpoint,EOL within 12 months,2028,2028-04-05,,1366.22,Not Started,None
PRJ-000027,AST-0005526,Laptop,EOL within 24 months,2027,2027-09-08,,3396.99,Not Started,Branch Scheduling
PRJ-000028,AST-0000679,Laptop,EOL within 12 months,2027,2027-06-29,,1673.51,In Progress,Budget Approval
PRJ-000029,AST-0003237,Laptop,EOL within 24 months,2027,2027-05-07,,1842.7,In Progress,Change Freeze
PRJ-000030,AST-0008215,Laptop,EOL within 12 months,2027,2027-08-15,,2034.04,Deferred,Budget Approval
PRJ-000031,AST-0007136,Laptop,EOL within 12 months,2026,2026-12-13,,1599.94,Planning,Change Freeze
PRJ-000032,AST-0008103,Laptop,EOL within 12 months,2027,2027-03-24,,1762.59,Planning,Branch Scheduling
PRJ-000033,AST-0022789,Router,EOL within 12 months,2026,2026-09-02,,11085.68,Deferred,Change Freeze
PRJ-000034,AST-0010938,Laptop,Past EOL,2027,2027-05-04,2027-05-03,1793.92,Completed,Security Exception
PRJ-000035,AST-0022753,Core Switch,EOL within 24 months,2027,2027-04-20,2027-05-04,21908.81,Completed,Change Freeze
PRJ-000036,AST-0019651,VDI Endpoint,EOL within 12 months,2027,2027-08-01,,1412.02,Not Started,Change Freeze
PRJ-000037,AST-0002346,Laptop,EOL within 12 months,2028,2028-01-14,,1638.52,Not Started,Vendor Lead Time
PRJ-000038,AST-0019064,VDI Endpoint,EOL within 12 months,2027,2027-11-26,,1433.36,In Progress,Application Dependency
PRJ-000039,AST-0019898,VDI Endpoint,EOL within 24 months,2027,2027-03-31,,830.78,Deferred,Branch Scheduling
PRJ-000040,AST-0010605,Laptop,Past EOL,2027,2027-06-27,2027-06-21,1564.38,Completed,Change Freeze
PRJ-000041,AST-0008091,Laptop,EOL within 12 months,2026,2026-07-23,,1575.06,Blocked,Security Exception
