Project_ID,Asset_ID,Project_Name,Planned_Refresh_Date,Actual_Refresh_Date,Project_Portfolio,Project_Status,Planned_Budget_Amount
PRJ000001,A0016735,Technology Refresh Wave,2026-10-07,,End User Computing,Approved,994.27
PRJ000002,A0022034,Technology Refresh Wave,2028-07-27,,Network,In Progress,4606.95
PRJ000003,A0013573,Technology Refresh Wave,2028-04-30,,Network,Completed,1294.8
PRJ000004,A0017419,Technology Refresh Wave,2027-03-11,,End User Computing,In Progress,821.42
PRJ000005,A0010934,Technology Refresh Wave,2028-05-21,,End User Computing,Completed,1013.05
PRJ000006,A0016149,Technology Refresh Wave,2028-12-22,,End User Computing,Approved,1183.13
PRJ000007,A0004654,Technology Refresh Wave,2026-11-19,,Cloud,Proposed,1336.78
PRJ000008,A0000053,Technology Refresh Wave,2026-10-01,,Cloud,Proposed,1068.69
PRJ000009,A0011300,Technology Refresh Wave,2027-10-19,,Network,Approved,1276.52
PRJ000010,A0021418,Technology Refresh Wave,2026-12-08,,Security,Deferred,12659.55
PRJ000011,A0009069,Technology Refresh Wave,2026-08-10,,Infrastructure,Proposed,1116.26
PRJ000012,A0012611,Technology Refresh Wave,2027-03-25,,Security,Proposed,1707.52
PRJ000013,A0016480,Technology Refresh Wave,2026-03-08,,End User Computing,Proposed,667.32
PRJ000014,A0014564,Technology Refresh Wave,2026-01-14,,End User Computing,Proposed,960.68
PRJ000015,A0003109,Technology Refresh Wave,2027-05-10,,Network,Proposed,1168.24
PRJ000016,A0002646,Technology Refresh Wave,2028-04-11,,End User Computing,Completed,946.0
PRJ000017,A0001148,Technology Refresh Wave,2026-02-08,,Infrastructure,In Progress,1704.54
PRJ000018,A0023040,Technology Refresh Wave,2027-04-15,,Infrastructure,Proposed,37973.08
PRJ000019,A0008020,Technology Refresh Wave,2028-10-14,,Cloud,Proposed,2558.35
PRJ000020,A0023476,Technology Refresh Wave,2028-10-08,,End User Computing,Completed,1053.58
PRJ000021,A0004227,Technology Refresh Wave,2028-11-02,,End User Computing,Proposed,1357.52
PRJ000022,A0016982,Technology Refresh Wave,2027-08-31,,Infrastructure,Approved,908.23
PRJ000023,A0009249,Technology Refresh Wave,2028-07-14,,Network,Completed,1909.95
PRJ000024,A0021830,Technology Refresh Wave,2028-08-04,,Network,In Progress,4125.97
PRJ000025,A0006393,Technology Refresh Wave,2026-02-08,,End User Computing,Completed,1565.02
PRJ000026,A0006550,Technology Refresh Wave,2028-11-08,,Cloud,In Progress,952.01
PRJ000027,A0006443,Technology Refresh Wave,2028-05-23,,Infrastructure,Approved,1194.35
PRJ000028,A0007094,Technology Refresh Wave,2026-09-01,,Infrastructure,Completed,891.43
