Remediation_ID,Asset_ID,Business_Unit_ID,Remediation_Type,Priority,Assigned_Team,Target_Completion_Date,Actual_Completion_Date,Remediation_Status,Remediation_Cost,Risk_Reduction_Category
REM-000001,A0000001,BU010,Endpoint Refresh,P3 - Medium,End User Computing,2027-03-08,,Not Started,1653.59,Lifecycle
REM-000002,A0000002,BU001,Endpoint Refresh,P4 - Planned,End User Computing,2027-05-03,,In Progress,1528.51,Lifecycle
REM-000003,A0000003,BU001,Endpoint Refresh,P4 - Planned,End User Computing,2027-08-18,,Deferred,1848.16,Lifecycle
REM-000004,A0000004,BU001,Endpoint Refresh,P4 - Planned,End User Computing,2027-08-28,2027-09-13,Completed,1656.31,Lifecycle
REM-000005,A0000005,BU009,Endpoint Refresh,P4 - Planned,End User Computing,2027-05-08,,Not Started,1458.38,Lifecycle
REM-000006,A0000006,BU002,Endpoint Refresh,P4 - Planned,End User Computing,2027-06-11,,Not Started,1252.71,Lifecycle
REM-000007,A0000007,BU001,Endpoint Refresh,P3 - Medium,End User Computing,2027-01-15,,In Progress,1376.8,Lifecycle
REM-000008,A0000008,BU004,Endpoint Refresh,P3 - Medium,End User Computing,2026-12-05,,Not Started,1835.24,Lifecycle + Cyber
REM-000009,A0000009,BU010,Endpoint Refresh,P3 - Medium,End User Computing,2027-03-02,,In Progress,1464.74,Lifecycle + Cyber
REM-000010,A0000010,BU001,Endpoint Refresh,P3 - Medium,End User Computing,2027-03-13,,Not Started,1193.12,Lifecycle + Cyber
REM-000011,A0000011,BU002,Endpoint Refresh,P3 - Medium,End User Computing,2027-04-07,,In Progress,1368.4,Lifecycle
REM-000012,A0000012,BU005,Endpoint Refresh,P3 - Medium,End User Computing,2027-03-29,2027-03-31,Completed,1607.37,Lifecycle + Cyber
REM-000013,A0000013,BU002,Endpoint Refresh,P3 - Medium,End User Computing,2027-01-07,,Deferred,1254.66,Lifecycle
REM-000014,A0000014,BU001,Endpoint Refresh,P3 - Medium,End User Computing,2026-12-17,,In Progress,1238.97,Lifecycle
REM-000015,A0000015,BU001,Endpoint Refresh,P3 - Medium,End User Computing,2027-03-15,2027-02-26,Completed,1445.3,Lifecycle
REM-000016,A0000016,BU001,Endpoint Refresh,P3 - Medium,End User Computing,2027-05-17,,In Progress,1699.72,Lifecycle
REM-000017,A0000017,BU001,Endpoint Refresh,P3 - Medium,End User Computing,2027-01-13,,In Progress,1283.7,Lifecycle
REM-000018,A0000018,BU005,Endpoint Refresh,P3 - Medium,End User Computing,2027-01-13,,Not Started,1512.74,Lifecycle
REM-000019,A0000019,BU001,Endpoint Refresh,P4 - Planned,End User Computing,2027-09-12,2027-08-04,Completed,1549.57,Lifecycle
REM-000020,A0000020,BU002,Endpoint Refresh,P4 - Planned,End User Computing,2027-07-30,2027-08-12,Completed,1456.44,Lifecycle
REM-000021,A0000021,BU006,Endpoint Refresh,P4 - Planned,End User Computing,2026-11-29,,In Progress,1426.68,Lifecycle
REM-000022,A0000022,BU002,Endpoint Refresh,P4 - Planned,End User Computing,2027-06-15,,Not Started,1747.76,Lifecycle
REM-000023,A0000023,BU001,Endpoint Refresh,P3 - Medium,End User Computing,2027-01-18,2026-12-11,Completed,1576.37,Lifecycle
REM-000024,A0000024,BU002,Endpoint Refresh,P4 - Planned,End User Computing,2027-01-07,,In Progress,1375.75,Lifecycle
REM-000025,A0000025,BU003,Endpoint Refresh,P4 - Planned,End User Computing,2027-06-21,,Not Started,1371.5,Lifecycle
REM-000026,A0000026,BU001,Endpoint Refresh,P4 - Planned,End User Computing,2027-07-13,,In Progress,1329.89,Lifecycle
REM-000027,A0000027,BU003,Endpoint Refresh,P3 - Medium,End User Computing,2026-12-22,2026-12-01,Completed,1392.12,Lifecycle
REM-000028,A0000028,BU001,Endpoint Refresh,P4 - Planned,End User Computing,2027-11-19,,In Progress,1593.08,Lifecycle
REM-000029,A0000029,BU001,Endpoint Refresh,P4 - Planned,End User Computing,2027-09-30,2027-10-17,Completed,1325.98,Lifecycle
REM-000030,A0000030,BU004,Endpoint Refresh,P1 - Critical,End User Computing,2026-07-06,,In Progress,1372.76,Lifecycle + Cyber
REM-000031,A0000031,BU001,Endpoint Refresh,P4 - Planned,End User Computing,2027-11-20,,Not Started,1368.61,Lifecycle
REM-000032,A0000032,BU001,Endpoint Refresh,P3 - Medium,End User Computing,2027-03-10,,Not Started,1372.79,Lifecycle
REM-000033,A0000033,BU002,Endpoint Refresh,P3 - Medium,End User Computing,2026-10-24,2026-09-02,Completed,1432.94,Lifecycle + Cyber
REM-000034,A0000034,BU002,Endpoint Refresh,P3 - Medium,End User Computing,2027-03-23,,In Progress,1716.48,Lifecycle + Cyber
REM-000035,A0000035,BU003,Endpoint Refresh,P3 - Medium,End User Computing,2026-11-06,2026-10-22,Completed,1486.14,Lifecycle
REM-000036,A0000036,BU009,Endpoint Refresh,P4 - Planned,End User Computing,2027-08-04,,In Progress,1328.97,Lifecycle
