Vulnerability_Record_ID,Asset_ID,CVE,Affected_Product,Severity,CVSS_Score,Discovery_Date,Remediation_Due_Date,Remediation_Status,Patch_Available,Recommended_Action
VUL-00000001,AST-0001264,CVE-2020-1472,Windows Netlogon,Critical,10.0,2024-06-18,2024-07-18,Risk Accepted,No,Patch
VUL-00000002,AST-0014851,CVE-2024-3094,XZ Utils,Critical,10.0,2025-01-06,2025-01-21,Remediated,No,Vendor Fix Pending
VUL-00000003,AST-0012909,CVE-2023-23397,Microsoft Outlook,Critical,9.8,2026-04-02,2026-04-17,Remediated,No,Upgrade
VUL-00000004,AST-0003138,CVE-2023-23397,Microsoft Outlook,Critical,9.8,2024-12-23,2025-03-23,Open,No,Compensating Control
VUL-00000005,AST-0018847,CVE-2023-23397,Microsoft Outlook,Critical,9.8,2025-05-11,2025-05-26,Open,Yes,Upgrade
VUL-00000006,AST-0002013,CVE-2023-23397,Microsoft Outlook,Critical,9.8,2025-08-01,2025-09-30,Remediated,Yes,Patch
VUL-00000007,AST-0003084,CVE-2024-3094,XZ Utils,Critical,10.0,2025-02-17,2025-04-18,In Progress,No,Upgrade
VUL-00000008,AST-0004140,CVE-2022-22965,Spring Framework,Critical,9.8,2025-07-08,2025-07-23,Remediated,No,Compensating Control
VUL-00000009,AST-0023865,CVE-2023-23397,Microsoft Outlook,Critical,9.8,2024-07-12,2024-07-27,Risk Accepted,Yes,Compensating Control
VUL-00000010,AST-0016218,CVE-2023-38545,curl,High,9.8,2025-05-26,2025-08-24,Open,No,Patch
VUL-00000011,AST-0011735,CVE-2023-23397,Microsoft Outlook,Critical,9.8,2024-08-09,2024-08-24,Remediated,Yes,Compensating Control
VUL-00000012,AST-0003570,CVE-2023-38545,curl,High,9.8,2024-11-29,2025-02-27,In Progress,Yes,Upgrade
VUL-00000013,AST-0000083,CVE-2022-22965,Spring Framework,Critical,9.8,2026-01-24,2026-02-23,Remediated,No,Patch
VUL-00000014,AST-0023504,CVE-2023-27997,Fortinet FortiOS,Critical,9.8,2025-01-06,2025-03-07,Risk Accepted,No,Compensating Control
VUL-00000015,AST-0022650,CVE-2022-30190,Microsoft Support Diagnostic Tool,High,7.8,2026-03-03,2026-03-18,Open,Yes,Vendor Fix Pending
VUL-00000016,AST-0006357,CVE-2023-38408,OpenSSH,High,9.8,2024-10-19,2025-01-17,In Progress,No,Compensating Control
VUL-00000017,AST-0013039,CVE-2021-34527,Windows Print Spooler,Critical,8.8,2026-04-08,2026-05-08,Remediated,Yes,Patch
