Finding_ID,Asset_ID,CVE_ID,Severity,First_Detected_Date,Last_Detected_Date,Remediation_Status,Scanner_Source,CVSS_Score
VULN00000001,A0007353,CVE-2023-36884,Medium,2024-07-10,2026-05-31,Closed,Defender Vulnerability Management,6.1
VULN00000002,A0006943,CVE-2024-21410,Medium,2024-09-18,2026-05-31,In Remediation,Tenable,6.9
VULN00000003,A0010704,CVE-2023-36884,Medium,2026-02-22,2026-05-31,In Remediation,Tenable,5.9
VULN00000004,A0017142,CVE-2023-20198,Low,2025-04-29,2026-05-31,In Remediation,Qualys,3.6
VULN00000005,A0014730,CVE-2023-34362,Low,2024-01-24,2026-05-31,Open,Qualys,2.5
VULN00000006,A0002675,CVE-2023-34362,High,2024-09-18,2026-05-31,Closed,Qualys,8.3
VULN00000007,A0015707,CVE-2021-44228,Low,2024-03-08,2026-05-31,Closed,Defender Vulnerability Management,3.3
VULN00000008,A0005329,CVE-2023-3519,Medium,2024-01-27,2026-05-31,Open,Tenable,4.5
VULN00000009,A0009070,CVE-2022-30190,Critical,2024-04-18,2026-05-31,In Remediation,Qualys,9.4
VULN00000010,A0019074,CVE-2023-20198,Medium,2025-11-08,2026-05-31,Open,Tenable,4.5
VULN00000011,A0008147,CVE-2022-30190,Medium,2025-01-16,2026-05-31,Closed,Tenable,5.3
VULN00000012,A0021234,CVE-2022-30190,Medium,2025-10-17,2026-05-31,Exception Approved,Qualys,5.7
VULN00000013,A0000174,CVE-2022-30190,Low,2024-03-07,2026-05-31,Open,Defender Vulnerability Management,2.6
VULN00000014,A0018890,CVE-2023-20198,Medium,2024-04-03,2026-05-31,Open,Tenable,5.0
VULN00000015,A0008961,CVE-2023-20198,Medium,2024-02-19,2026-05-31,Open,Defender Vulnerability Management,5.7
VULN00000016,A0019657,CVE-2023-20198,Medium,2025-03-13,2026-05-31,Exception Approved,Defender Vulnerability Management,5.4
VULN00000017,A0019630,CVE-2024-3094,Low,2025-03-26,2026-05-31,Open,Tenable,1.8
VULN00000018,A0016978,CVE-2023-3519,Medium,2025-07-23,2026-05-31,Closed,Qualys,5.0
VULN00000019,A0017018,CVE-2023-36884,High,2024-08-24,2026-05-31,Closed,Tenable,7.9
VULN00000020,A0023749,CVE-2023-23397,Low,2025-01-31,2026-05-31,In Remediation,Tenable,2.4
VULN00000021,A0006007,CVE-2023-36884,High,2024-04-08,2026-05-31,Closed,Defender Vulnerability Management,8.2
VULN00000022,A0021085,CVE-2023-3519,High,2026-01-13,2026-05-31,Open,Tenable,7.7
VULN00000023,A0009080,CVE-2023-23397,High,2024-11-26,2026-05-31,Open,Qualys,8.2
VULN00000024,A0007143,CVE-2024-3094,Medium,2024-10-24,2026-05-31,Exception Approved,Tenable,6.1
VULN00000025,A0003406,CVE-2023-36884,High,2025-11-23,2026-05-31,Open,Tenable,8.1
VULN00000026,A0004335,CVE-2024-3400,Low,2025-05-03,2026-05-31,In Remediation,Tenable,1.6
VULN00000027,A0003368,CVE-2024-3094,Critical,2026-01-03,2026-05-31,Closed,Qualys,9.4
VULN00000028,A0003723,CVE-2024-3094,High,2024-06-16,2026-05-31,Open,Defender Vulnerability Management,7.8
VULN00000029,A0023160,CVE-2023-3519,High,2024-03-23,2026-05-31,In Remediation,Qualys,8.4
VULN00000030,A0020084,CVE-2023-36884,Medium,2026-01-22,2026-05-31,Exception Approved,Qualys,6.2
VULN00000031,A0016115,CVE-2022-30190,Medium,2025-12-13,2026-05-31,In Remediation,Tenable,4.7
VULN00000032,A0016486,CVE-2024-3400,Critical,2024-04-11,2026-05-31,Closed,Tenable,9.0
VULN00000033,A0008166,CVE-2021-44228,High,2024-07-09,2026-05-31,Open,Qualys,8.0
VULN00000034,A0016511,CVE-2024-3400,Low,2024-08-12,2026-05-31,Closed,Tenable,1.5
VULN00000035,A0006820,CVE-2023-20198,High,2024-05-04,2026-05-31,Exception Approved,Tenable,8.1
VULN00000036,A0021923,CVE-2021-44228,Medium,2025-05-01,2026-05-31,Closed,Qualys,5.6
VULN00000037,A0015451,CVE-2023-34362,Medium,2025-06-25,2026-05-31,Open,Tenable,6.0
VULN00000038,A0007686,CVE-2024-3094,High,2025-06-18,2026-05-31,Exception Approved,Qualys,8.5
