Employee_ID,Business_Unit_ID,Role_Title,Worker_Type
E000001,BU001,Operations Analyst,Employee
E000002,BU009,Data Engineer,Employee
E000003,BU004,Risk Analyst,Employee
E000004,BU003,Software Engineer,Employee
E000005,BU001,Customer Service Rep,Employee
E000006,BU001,Data Engineer,Employee
E000007,BU001,Financial Advisor,Employee
E000008,BU008,Financial Advisor,Employee
E000009,BU003,Software Engineer,Employee
E000010,BU004,Software Engineer,Employee
E000011,BU001,Data Engineer,Employee
E000012,BU010,Network Engineer,Employee
E000013,BU007,Software Engineer,Employee
E000014,BU001,Network Engineer,Employee
E000015,BU001,Risk Analyst,Employee
E000016,BU001,Financial Advisor,Employee
E000017,BU001,Data Engineer,Employee
E000018,BU002,Software Engineer,Contractor
E000019,BU002,Risk Analyst,Employee
E000020,BU001,Data Engineer,Employee
E000021,BU003,Operations Analyst,Employee
E000022,BU001,Customer Service Rep,Employee
E000023,BU001,Operations Analyst,Employee
E000024,BU001,Branch Manager,Employee
E000025,BU002,Network Engineer,Employee
E000026,BU006,Branch Manager,Employee
E000027,BU001,Security Analyst,Employee
E000028,BU002,Risk Analyst,Employee
E000029,BU003,Network Engineer,Contractor
E000030,BU001,Risk Analyst,Employee
E000031,BU003,Operations Analyst,Employee
E000032,BU001,Systems Administrator,Employee
E000033,BU001,Network Engineer,Employee
E000034,BU009,Financial Advisor,Employee
E000035,BU010,Risk Analyst,Employee
E000036,BU006,Financial Advisor,Employee
E000037,BU001,Systems Administrator,Employee
E000038,BU001,Software Engineer,Employee
E000039,BU004,Risk Analyst,Contractor
E000040,BU002,Branch Manager,Employee
E000041,BU001,Risk Analyst,Employee
E000042,BU002,Software Engineer,Contractor
E000043,BU001,Operations Analyst,Employee
E000044,BU009,Data Engineer,Employee
E000045,BU001,Branch Manager,Employee
E000046,BU004,Branch Manager,Employee
E000047,BU001,Systems Administrator,Employee
E000048,BU002,Operations Analyst,Contractor
E000049,BU003,Branch Manager,Contractor
E000050,BU001,Customer Service Rep,Employee
E000051,BU010,Financial Advisor,Employee
