File,Column,Layer
hardware_assets_raw.csv,Asset_ID,Raw
hardware_assets_raw.csv,Hostname,Raw
hardware_assets_raw.csv,Asset_Type,Raw
hardware_assets_raw.csv,Manufacturer,Raw
hardware_assets_raw.csv,Model,Raw
hardware_assets_raw.csv,Serial_Number,Raw
hardware_assets_raw.csv,Purchase_Date,Raw
hardware_assets_raw.csv,Install_Date,Raw
hardware_assets_raw.csv,Warranty_End_Date,Raw
hardware_assets_raw.csv,Purchase_Cost,Raw
hardware_assets_raw.csv,Location_ID,Raw
hardware_assets_raw.csv,Business_Unit_ID,Raw
hardware_assets_raw.csv,Environment,Raw
hardware_assets_raw.csv,Assigned_Owner_ID,Raw
hardware_assets_raw.csv,Asset_Operational_Status,Raw
hardware_assets_raw.csv,Inventory_Source,Raw
hardware_assets_raw.csv,Last_Discovered_Date,Raw
cloud_resources_raw.csv,Resource_ID,Raw
cloud_resources_raw.csv,Cloud_Platform,Raw
cloud_resources_raw.csv,Service_Name,Raw
cloud_resources_raw.csv,Subscription_ID,Raw
cloud_resources_raw.csv,Resource_Group,Raw
cloud_resources_raw.csv,Creation_Date,Raw
cloud_resources_raw.csv,Business_Unit_ID,Raw
cloud_resources_raw.csv,Environment,Raw
cloud_resources_raw.csv,Resource_Type,Raw
software_installations_raw.csv,Installation_ID,Raw
software_installations_raw.csv,Asset_ID,Raw
software_installations_raw.csv,Publisher,Raw
software_installations_raw.csv,Software_Name,Raw
software_installations_raw.csv,Software_Version,Raw
software_installations_raw.csv,Install_Date,Raw
software_installations_raw.csv,Discovery_Source,Raw
software_installations_raw.csv,License_Metric,Raw
software_installations_raw.csv,Last_Seen_Date,Raw
vulnerabilities_raw.csv,Finding_ID,Raw
vulnerabilities_raw.csv,Asset_ID,Raw
vulnerabilities_raw.csv,CVE_ID,Raw
vulnerabilities_raw.csv,Severity,Raw
vulnerabilities_raw.csv,First_Detected_Date,Raw
vulnerabilities_raw.csv,Last_Detected_Date,Raw
vulnerabilities_raw.csv,Remediation_Status,Raw
vulnerabilities_raw.csv,Scanner_Source,Raw
vulnerabilities_raw.csv,CVSS_Score,Raw
incidents_raw.csv,Incident_ID,Raw
incidents_raw.csv,Asset_ID,Raw
incidents_raw.csv,Opened_DateTime,Raw
incidents_raw.csv,Closed_DateTime,Raw
incidents_raw.csv,Priority,Raw
incidents_raw.csv,Incident_State,Raw
incidents_raw.csv,Root_Cause_Category,Raw
incidents_raw.csv,Assignment_Group,Raw
refresh_projects_raw.csv,Project_ID,Raw
refresh_projects_raw.csv,Asset_ID,Raw
refresh_projects_raw.csv,Project_Name,Raw
refresh_projects_raw.csv,Planned_Refresh_Date,Raw
refresh_projects_raw.csv,Actual_Refresh_Date,Raw
refresh_projects_raw.csv,Project_Portfolio,Raw
refresh_projects_raw.csv,Project_Status,Raw
refresh_projects_raw.csv,Planned_Budget_Amount,Raw
budget_allocations_raw.csv,Fiscal_Year,Raw
budget_allocations_raw.csv,Business_Unit_ID,Raw
budget_allocations_raw.csv,Budget_Type,Raw
budget_allocations_raw.csv,Allocated_Amount,Raw
business_units.csv,Business_Unit_ID,Reference
business_units.csv,Business_Unit_Name,Reference
business_units.csv,Executive_Owner,Reference
business_units.csv,Business_Function,Reference
business_units.csv,Business_Criticality,Reference
locations.csv,Location_ID,Reference
locations.csv,Location_Name,Reference
locations.csv,Region_Code,Reference
locations.csv,Province,Reference
locations.csv,Office_Type,Reference
hardware_model_reference.csv,Asset_Type,Reference
hardware_model_reference.csv,Manufacturer,Reference
hardware_model_reference.csv,Model,Reference
hardware_model_reference.csv,Model_Release_Date,Reference
hardware_model_reference.csv,Vendor_Support_End_Date,Reference
hardware_model_reference.csv,Standard_Refresh_Cycle_Years,Reference
hardware_model_reference.csv,Standard_Replacement_Cost,Reference
replacement_cost_reference.csv,Asset_Type,Reference
replacement_cost_reference.csv,Manufacturer,Reference
replacement_cost_reference.csv,Model,Reference
replacement_cost_reference.csv,Standard_Replacement_Cost,Reference
software_lifecycle_reference.csv,Publisher,Reference
software_lifecycle_reference.csv,Software_Name,Reference
software_lifecycle_reference.csv,Version,Reference
software_lifecycle_reference.csv,Release_Date,Reference
software_lifecycle_reference.csv,Vendor_Support_End_Date,Reference
software_lifecycle_reference.csv,Software_Category,Reference
employees.csv,Employee_ID,Reference
employees.csv,Business_Unit_ID,Reference
employees.csv,Role_Title,Reference
employees.csv,Worker_Type,Reference
