Asset_ID,Asset_Name,Asset_Type,Manufacturer,Model,Serial_Number,Purchase_Date,Install_Date,Warranty_End,Expected_EOL,Lifecycle_Status,Current_Status,Location_ID,Business_Unit,Criticality,Environment,Replacement_Cost_CAD,Days_To_EOL,Age_Years,Criticality_Score,EOL_Score,Vulnerability_Count,Critical_Vuln_Count,High_Vuln_Count,Avg_CVSS,Max_CVSS,Incident_Count,Total_Downtime_Hours,Avg_Downtime_Hours,Refresh_Project_Count,Latest_Refresh_Status,Planned_Refresh_Budget,Location_Name,Region,City,Country,Location_Type,Risk_Score,Risk_Band
AST-0000001,LAP-0000001,Laptop,Lenovo,ThinkPad T14 Gen 2,P5TB94874F,2024-02-04,2024-03-04,2027-03-04,2026-09-06,0-6 Months,Planned Refresh,LOC-0109,Retail Banking,Medium,Production,1500,97,2.3,2,4,2.0,0.0,2.0,8.8,9.8,1.0,3.73,3.73,0.0,,0.0,Western Canada 11,Western Canada,Calgary,Canada,DR Site,115.5,Critical
AST-0000002,LAP-0000002,Laptop,Apple,MacBook Pro 14-inch M2 Pro,72KZ02XRGH,2024-03-13,2024-04-08,2027-04-08,2029-04-18,Supported >24 Months,In Service,LOC-0043,Capital Markets,Critical,Development,2850,1052,2.2,4,1,3.0,2.0,1.0,9.866666666666667,10.0,2.0,3.7,1.85,0.0,,0.0,GTA Branches 40,GTA Branches,Oakville,Canada,Branch,93.0,High
AST-0000003,LAP-0000003,Laptop,Apple,MacBook Air M2,F8CGVYIE6I,2022-11-02,2022-11-23,2025-11-22,2026-09-01,0-6 Months,Retired,LOC-0013,Human Resources,Medium,Test,1650,92,3.6,2,4,2.0,1.0,1.0,9.9,10.0,4.0,1.34,0.3349999999999999,1.0,Planning,1744.77,GTA Branches 10,GTA Branches,Toronto,Canada,Branch,122.0,Critical
AST-0000004,LAP-0000004,Laptop,Dell,Latitude 5420,HZIOYKL1CQ,2024-08-20,2024-08-26,2028-08-25,2026-09-04,0-6 Months,Retired,LOC-0150,Finance,Medium,Development,1450,95,1.8,2,4,4.0,4.0,0.0,9.9,10.0,5.0,3.12,0.6239999999999999,0.0,,0.0,Atlantic Canada 7,Atlantic Canada,Halifax,Canada,DR Site,133.5,Critical
AST-0000005,LAP-0000005,Laptop,Dell,Latitude 5430,5NF4ZW9XA3,2022-08-29,2022-10-03,2025-10-02,2028-04-28,12-24 Months,In Service,LOC-0130,Commercial Banking,Critical,Production,1550,697,3.8,4,2,1.0,1.0,0.0,9.8,9.8,5.0,18.04,3.608,0.0,,0.0,Quebec 7,Quebec,Montreal,Canada,DR Site,111.5,Critical
AST-0000006,LAP-0000006,Laptop,Dell,Latitude 5430,VZHWJR64DP,2023-01-01,2023-01-18,2026-01-17,2027-12-02,12-24 Months,In Service,LOC-0028,Technology,Low,Development,1550,549,3.4,1,2,1.0,1.0,0.0,10.0,10.0,3.0,1.97,0.6566666666666667,1.0,In Progress,1905.62,GTA Branches 25,GTA Branches,Markham,Canada,Branch,63.5,Medium
AST-0000007,LAP-0000007,Laptop,Dell,Latitude 5420,PAC56T4UFE,2021-03-08,2021-03-30,2024-03-29,2027-04-01,6-12 Months,In Service,LOC-0068,Retail Banking,Medium,Test,1450,304,5.2,2,3,2.0,1.0,1.0,8.8,9.8,5.0,42.38,8.476,0.0,,0.0,GTA Branches 65,GTA Branches,Brampton,Canada,Branch,103.5,High
AST-0000008,LAP-0000008,Laptop,HP,EliteBook 840 G8,5OWF75935A,2021-03-23,2021-04-15,2024-04-14,2026-08-11,0-6 Months,Quarantined,LOC-0064,Technology,Medium,Test,1500,71,5.2,2,4,1.0,0.0,1.0,9.8,9.8,1.0,0.01,0.01,0.0,,0.0,GTA Branches 61,GTA Branches,Oakville,Canada,Branch,113.5,Critical
AST-0000009,LAP-0000009,Laptop,HP,EliteBook 840 G8,NBQH7M35IX,2023-04-24,2023-06-06,2028-06-04,2028-01-26,12-24 Months,Planned Refresh,LOC-0064,Commercial Banking,High,Production,1500,604,3.1,3,2,2.0,2.0,0.0,9.8,9.8,4.0,6.71,1.6775,0.0,,0.0,GTA Branches 61,GTA Branches,Oakville,Canada,Branch,99.0,High
AST-0000010,LAP-0000010,Laptop,HP,EliteBook 840 G8,LA5JU9BVM2,2022-07-25,2022-07-30,2026-07-29,2028-09-16,Supported >24 Months,Planned Refresh,LOC-0090,Technology,Medium,Test,1500,838,3.9,2,1,2.0,1.0,1.0,9.9,10.0,4.0,1.88,0.47,1.0,Blocked,1706.4,Ontario Regional 7,Ontario Regional,London,Canada,DR Site,62.0,Medium
