data_layer,table_name,row_count,column_count,duplicate_rows,missing_values,columns
raw,budget_allocations_raw.csv,160,4,0,0,"Fiscal_Year, Business_Unit_ID, Budget_Type, Allocated_Amount"
raw,cloud_resources_raw.csv,1200,9,0,0,"Resource_ID, Cloud_Platform, Service_Name, Subscription_ID, Resource_Group, Creation_Date, Business_Unit_ID, Environment, Resource_Type"
raw,hardware_assets_raw.csv,23770,17,0,0,"Asset_ID, Hostname, Asset_Type, Manufacturer, Model, Serial_Number, Purchase_Date, Install_Date, Warranty_End_Date, Purchase_Cost, Location_ID, Business_Unit_ID, Environment, Assigned_Owner_ID, Asset_Operational_Status, Inventory_Source, Last_Discovered_Date"
raw,incidents_raw.csv,100000,8,0,0,"Incident_ID, Asset_ID, Opened_DateTime, Closed_DateTime, Priority, Incident_State, Root_Cause_Category, Assignment_Group"
raw,refresh_projects_raw.csv,8000,8,0,8000,"Project_ID, Asset_ID, Project_Name, Planned_Refresh_Date, Actual_Refresh_Date, Project_Portfolio, Project_Status, Planned_Budget_Amount"
raw,software_installations_raw.csv,125353,9,0,0,"Installation_ID, Asset_ID, Publisher, Software_Name, Software_Version, Install_Date, Discovery_Source, License_Metric, Last_Seen_Date"
raw,vulnerabilities_raw.csv,60000,9,0,0,"Finding_ID, Asset_ID, CVE_ID, Severity, First_Detected_Date, Last_Detected_Date, Remediation_Status, Scanner_Source, CVSS_Score"
reference,business_units.csv,10,5,0,0,"Business_Unit_ID, Business_Unit_Name, Executive_Owner, Business_Function, Business_Criticality"
reference,employees.csv,22000,4,0,0,"Employee_ID, Business_Unit_ID, Role_Title, Worker_Type"
reference,hardware_model_reference.csv,39,7,0,0,"Asset_Type, Manufacturer, Model, Model_Release_Date, Vendor_Support_End_Date, Standard_Refresh_Cycle_Years, Standard_Replacement_Cost"
reference,locations.csv,179,5,0,0,"Location_ID, Location_Name, Region_Code, Province, Office_Type"
reference,replacement_cost_reference.csv,39,4,0,0,"Asset_Type, Manufacturer, Model, Standard_Replacement_Cost"
reference,software_lifecycle_reference.csv,39,6,0,0,"Publisher, Software_Name, Version, Release_Date, Vendor_Support_End_Date, Software_Category"
processed,budget_allocations.csv,160,4,0,0,"Fiscal_Year, Business_Unit_ID, Budget_Type, Allocated_Amount"
processed,cloud_resources.csv,1200,9,0,0,"Resource_ID, Cloud_Platform, Service_Name, Subscription_ID, Resource_Group, Creation_Date, Business_Unit_ID, Environment, Resource_Type"
