Installation_ID,Asset_ID,Publisher,Software_Name,Software_Version,Install_Date,Discovery_Source,License_Metric,Last_Seen_Date,Version,Release_Date,Vendor_Support_End_Date,Software_Category,Months_To_Software_EOL,Software_EOL_Status,Software_Compliance_Risk
SWI00000001,A0000001,Adobe,Adobe Acrobat Pro 2020,20,2020-10-18,SCCM,Device,2026-05-31,20,2020-06-01,2025-11-30,Productivity,-6.0,Unsupported,High
SWI00000002,A0000001,Google,Google Chrome,124,2020-10-18,SCCM,Device,2026-05-31,124,2024-04-01,2025-04-01,Browser,-14.0,Unsupported,High
SWI00000003,A0000001,Adobe,Adobe Acrobat Pro 2020,20,2020-10-18,Intune,Enterprise,2026-05-31,20,2020-06-01,2025-11-30,Productivity,-6.0,Unsupported,High
SWI00000004,A0000001,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2020-10-18,SCCM,Enterprise,2026-05-31,Current Channel,2023-01-01,2027-01-01,Productivity,7.0,Support Ending in 12 Months,Medium
SWI00000005,A0000001,Microsoft,Windows 11 Enterprise,23H2,2020-10-18,SCCM,Device,2026-05-31,23H2,2023-10-31,2026-11-10,Operating System,5.3,Support Ending in 12 Months,Medium
SWI00000006,A0000002,Microsoft,Windows 10 Enterprise,22H2,2019-06-22,SCCM,User,2026-05-31,22H2,2022-10-18,2025-10-14,Operating System,-7.6,Unsupported,High
SWI00000007,A0000002,Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,2019-06-22,Intune,Device,2026-05-31,Current Channel,2023-01-01,2027-01-01,Productivity,7.0,Support Ending in 12 Months,Medium
SWI00000008,A0000002,Adobe,Adobe Acrobat Pro 2020,20,2019-06-22,Intune,Device,2026-05-31,20,2020-06-01,2025-11-30,Productivity,-6.0,Unsupported,High
SWI00000009,A0000002,Adobe,Adobe Acrobat Pro 2020,20,2019-06-22,SCCM,Enterprise,2026-05-31,20,2020-06-01,2025-11-30,Productivity,-6.0,Unsupported,High
SWI00000010,A0000002,Microsoft,Windows 11 Enterprise,23H2,2019-06-22,Intune,Enterprise,2026-05-31,23H2,2023-10-31,2026-11-10,Operating System,5.3,Support Ending in 12 Months,Medium
SWI00000011,A0000003,Microsoft,OneDrive,24.x,2024-07-20,SCCM,Enterprise,2026-05-31,24.x,2024-01-01,2026-01-01,Productivity,-5.0,Unsupported,High
SWI00000012,A0000003,Microsoft,Microsoft Teams Classic,1.6,2024-07-20,Tanium,Device,2026-05-31,1.6,2022-01-01,2024-06-30,Collaboration,-23.1,Unsupported,High
SWI00000013,A0000003,Microsoft,OneDrive,24.x,2024-07-20,SCCM,Open Source,2026-05-31,24.x,2024-01-01,2026-01-01,Productivity,-5.0,Unsupported,High
SWI00000014,A0000003,Mozilla,Firefox ESR,115,2024-07-20,SCCM,Open Source,2026-05-31,115,2023-07-01,2024-10-01,Browser,-20.0,Unsupported,High
SWI00000015,A0000003,Google,Google Chrome,124,2024-07-20,Intune,Device,2026-05-31,124,2024-04-01,2025-04-01,Browser,-14.0,Unsupported,High
SWI00000016,A0000004,Microsoft,Windows 11 Enterprise,23H2,2021-12-09,SCCM,User,2026-05-31,23H2,2023-10-31,2026-11-10,Operating System,5.3,Support Ending in 12 Months,Medium
SWI00000017,A0000004,Microsoft,Windows 10 Enterprise,22H2,2021-12-09,Intune,User,2026-05-31,22H2,2022-10-18,2025-10-14,Operating System,-7.6,Unsupported,High
SWI00000018,A0000004,Google,Google Chrome,124,2021-12-09,SCCM,User,2026-05-31,124,2024-04-01,2025-04-01,Browser,-14.0,Unsupported,High
SWI00000019,A0000004,Mozilla,Firefox ESR,115,2021-12-09,SCCM,User,2026-05-31,115,2023-07-01,2024-10-01,Browser,-20.0,Unsupported,High
SWI00000020,A0000004,Microsoft,Microsoft Teams Classic,1.6,2021-12-09,Tanium,Device,2026-05-31,1.6,2022-01-01,2024-06-30,Collaboration,-23.1,Unsupported,High
SWI00000021,A0000005,Mozilla,Firefox ESR,115,2019-06-08,SCCM,Enterprise,2026-05-31,115,2023-07-01,2024-10-01,Browser,-20.0,Unsupported,High
SWI00000022,A0000005,Mozilla,Firefox ESR,115,2019-06-08,SCCM,User,2026-05-31,115,2023-07-01,2024-10-01,Browser,-20.0,Unsupported,High
SWI00000023,A0000005,Adobe,Adobe Acrobat Pro 2020,20,2019-06-08,SCCM,Device,2026-05-31,20,2020-06-01,2025-11-30,Productivity,-6.0,Unsupported,High
SWI00000024,A0000005,Microsoft,Windows 11 Enterprise,23H2,2019-06-08,Intune,User,2026-05-31,23H2,2023-10-31,2026-11-10,Operating System,5.3,Support Ending in 12 Months,Medium
SWI00000025,A0000005,Microsoft,OneDrive,24.x,2019-06-08,Tanium,Open Source,2026-05-31,24.x,2024-01-01,2026-01-01,Productivity,-5.0,Unsupported,High
SWI00000026,A0000006,Microsoft,Windows 10 Enterprise,22H2,2023-08-24,SCCM,Enterprise,2026-05-31,22H2,2022-10-18,2025-10-14,Operating System,-7.6,Unsupported,High
SWI00000027,A0000006,Microsoft,OneDrive,24.x,2023-08-24,Intune,Enterprise,2026-05-31,24.x,2024-01-01,2026-01-01,Productivity,-5.0,Unsupported,High
SWI00000028,A0000006,Google,Google Chrome,124,2023-08-24,Intune,Device,2026-05-31,124,2024-04-01,2025-04-01,Browser,-14.0,Unsupported,High
SWI00000029,A0000006,Mozilla,Firefox ESR,115,2023-08-24,SCCM,User,2026-05-31,115,2023-07-01,2024-10-01,Browser,-20.0,Unsupported,High
SWI00000030,A0000006,Microsoft,OneDrive,24.x,2023-08-24,Tanium,Device,2026-05-31,24.x,2024-01-01,2026-01-01,Productivity,-5.0,Unsupported,High
SWI00000031,A0000006,Python Software Foundation,Python,3.10,2023-08-24,Intune,Device,2026-05-31,3.10,2021-10-04,2026-10-04,Development,4.1,Support Ending in 12 Months,Medium
SWI00000032,A0000006,Jenkins,Jenkins,2.401 LTS,2023-08-24,SCCM,Enterprise,2026-05-31,2.401 LTS,2023-04-01,2024-09-01,DevOps,-21.0,Unsupported,High
SWI00000033,A0000006,Git,Git,2.43,2023-08-24,Server Discovery,Device,2026-05-31,2.43,2023-11-20,2025-11-20,Development,-6.4,Unsupported,High
