Lifecycle_Status,Asset_Type,Asset_Count,Replacement_Cost,Avg_Risk_Score
0-6 Months,Desktop,1141,1198050,129.17046450482033
0-6 Months,Firewall,35,735000,138.18571428571428
0-6 Months,Router,250,2278100,136.378
12-24 Months,Access Switch,618,3831600,97.85922330097087
12-24 Months,Core Switch,80,1760000,92.8625
12-24 Months,Desktop,2234,2178850,89.35452103849597
12-24 Months,Firewall,38,342000,95.90789473684211
12-24 Months,Laptop,4747,10055750,89.56235517168739
12-24 Months,Server,590,6931000,103.61101694915254
12-24 Months,Storage,23,2025000,95.47826086956522
12-24 Months,VDI Endpoint,773,695700,89.47542043984475
12-24 Months,Wireless Access Point,357,397050,98.40896358543418
12-24 Months,Wireless Controller,20,210000,100.925
6-12 Months,Desktop,1125,1181250,109.26977777777778
6-12 Months,Firewall,28,1260000,107.57142857142857
6-12 Months,Laptop,4619,7392600,109.39218445550985
6-12 Months,VDI Endpoint,727,799700,109.92916093535075
6-12 Months,Wireless Access Point,142,113600,115.5
Past EOL,Laptop,4634,6874350,149.3566033664221
Supported >24 Months,Access Switch,282,1184400,75.94680851063829
Supported >24 Months,Distribution Switch,300,2550000,77.02333333333333
Supported >24 Months,Firewall,49,1225000,76.37755102040816
Supported >24 Months,Server,910,11401000,84.16153846153846
Supported >24 Months,Storage,17,1615000,61.73529411764706
Supported >24 Months,Wireless Access Point,201,190950,75.363184079602
