Business_Unit,total_assets,past_eol,critical_vulns,replacement_cost,downtime_hours,past_eol_rate_pct
Retail Banking,4798,942,9138.0,13741900,54009.36,19.633180491871613
Technology,4308,838,8026.0,12484150,49871.17,19.452181987000927
Commercial Banking,2845,559,5466.0,8445200,32802.04,19.648506151142357
Wealth Management,2029,389,3751.0,6048750,22686.12,19.17200591424347
Capital Markets,1883,388,3483.0,5352750,21610.32,20.60541688794477
Data & Analytics,1396,260,2641.0,4002150,15557.02,18.624641833810887
Operations,1397,253,2559.0,3818750,16716.45,18.11023622047244
Cybersecurity,1179,231,2157.0,3075850,13138.41,19.59287531806616
Risk,1170,211,2185.0,3306300,13026.72,18.034188034188034
Finance,895,191,1708.0,2321450,10470.06,21.34078212290503
Legal & Compliance,909,177,1636.0,2412900,9401.82,19.471947194719473
Human Resources,688,108,1333.0,2032900,8125.86,15.69767441860465
Treasury,443,87,882.0,1382900,4846.31,19.63882618510158
