Software_Name,Version,Category,Software_Lifecycle_Status,non_compliant_installs,distinct_assets
Adobe Acrobat Pro,2020,Productivity,Past EOL,11213,11213
Mozilla Firefox ESR,115 ESR,Browser,Past EOL,11213,11213
Microsoft Teams,Classic/2.x,Collaboration,0-6 Months,4544,4544
Microsoft OneDrive,24.x,Collaboration,Supported >24 Months,4526,4526
Google Chrome,Current,Browser,Supported >24 Months,4510,4510
Adobe Acrobat Pro,Continuous,Productivity,Supported >24 Months,4506,4506
Microsoft 365 Apps for Enterprise,Current Channel,Productivity,Supported >24 Months,4468,4468
Microsoft Edge,Current,Browser,Supported >24 Months,4447,4447
Windows 10 Enterprise 22H2,22H2,Operating System,Past EOL,4210,4210
Windows 11 Enterprise 23H2,23H2,Operating System,0-6 Months,2975,2975
Splunk Enterprise Security,7.x,Security,Supported >24 Months,2452,2452
CyberArk Privileged Access Manager,14.x,Security,Supported >24 Months,2397,2397
Qualys VMDR,Cloud,Security,Supported >24 Months,2395,2395
Zscaler Internet Access,Cloud,Security,Supported >24 Months,2354,2354
Microsoft Defender for Endpoint,Plan 2,Security,Supported >24 Months,2346,2346
Tenable Nessus,10.x,Security,Supported >24 Months,2341,2341
CrowdStrike Falcon,Current,Security,Supported >24 Months,2299,2299
Windows 11 Enterprise 24H2,24H2,Operating System,12-24 Months,2103,2103
Kubernetes 1.28,1.28,Container,Past EOL,1195,1195
Apache Airflow 2.7,2.7,Data Engineering,Past EOL,1188,1188
GitHub Enterprise Server 3.12,3.12,Source Control,Past EOL,1076,1076
GitLab Enterprise Edition 16.x,16.x,Source Control,Past EOL,1052,1052
.NET 6,6,Runtime,Past EOL,1049,1049
Node.js 16,16,Runtime,Past EOL,1043,1043
Python 3.8,3.8,Runtime,Past EOL,1033,1033
Node.js 18,18,Runtime,Past EOL,1030,1030
Python 3.9,3.9,Runtime,Past EOL,1024,1024
Jenkins 2.401 LTS,2.401 LTS,CI/CD,Past EOL,1012,1012
macOS Ventura 13,13,Operating System,Past EOL,996,996
Node.js 20,20,Runtime,Past EOL,996,996
Red Hat OpenShift 4.14,4.14,Container,0-6 Months,530,530
Apache Kafka 3.5,3.5,Data Engineering,0-6 Months,499,499
Informatica PowerCenter 10.5,10.5,Data Engineering,12-24 Months,474,474
Azure Data Factory,Cloud,Data Engineering,Supported >24 Months,468,468
Docker Desktop 4.x,4.x,Container,Supported >24 Months,461,461
Git 2.x,2.x,Version Control,Supported >24 Months,460,460
Databricks Runtime 13.3 LTS,13.3 LTS,Data Engineering,0-6 Months,458,458
IBM SPSS Statistics 29,29,Analytics,Supported >24 Months,449,449
