Business_Unit,Asset_Type,Criticality,assets,critical_vulns,high_vulns,avg_cvss,max_cvss,replacement_cost
Retail Banking,Server,Medium,58,249.0,93.0,9.522011417701073,10.0,697500
Technology,Server,Medium,48,223.0,70.0,9.625654831279832,10.0,595000
Retail Banking,Laptop,Medium,121,215.0,52.0,9.650757575757577,10.0,208900
Technology,Laptop,Medium,107,182.0,58.0,9.61252336448598,10.0,191450
Retail Banking,Server,Low,35,178.0,62.0,9.639473922902495,10.0,421500
Retail Banking,Laptop,High,94,168.0,48.0,9.5555547112462,10.0,163500
Retail Banking,Server,High,35,159.0,50.0,9.602687074829932,10.0,425500
Technology,Laptop,High,93,155.0,46.0,9.617670250896058,10.0,162900
Commercial Banking,Server,High,30,151.0,45.0,9.616506253006254,10.0,371500
Commercial Banking,Laptop,Medium,76,130.0,44.0,9.58141290726817,10.0,131100
Retail Banking,Server,Critical,26,124.0,42.0,9.627239982239983,10.0,313000
Technology,Server,High,28,121.0,35.0,9.588721655328799,10.0,339500
Commercial Banking,Server,Medium,24,115.0,35.0,9.549049723424725,10.0,299500
Wealth Management,Server,High,22,110.0,35.0,9.535595238095238,10.0,271500
Wealth Management,Server,Medium,22,108.0,30.0,9.573008330053785,10.0,259000
Commercial Banking,Laptop,High,59,102.0,24.0,9.632655367231639,10.0,102200
Technology,Server,Critical,22,102.0,34.0,9.664813065722157,10.0,273500
Retail Banking,Laptop,Critical,52,97.0,31.0,9.616428571428573,10.0,96500
Capital Markets,Laptop,Medium,50,97.0,34.0,9.655666666666667,10.0,90900
Data & Analytics,Server,Medium,18,94.0,33.0,9.567890812890814,10.0,217500
Technology,Laptop,Critical,50,93.0,18.0,9.6516,10.0,85950
Retail Banking,Laptop,Low,56,92.0,35.0,9.602857142857143,10.0,96600
Commercial Banking,Server,Low,19,91.0,31.0,9.60325396825397,10.0,238500
Technology,Server,Low,24,90.0,44.0,9.602446488696488,10.0,301500
Wealth Management,Laptop,Medium,50,85.0,27.0,9.596400000000001,10.0,84100
Technology,Laptop,Low,53,83.0,23.0,9.597861635220125,10.0,95200
Finance,Server,Medium,19,81.0,32.0,9.513947368421052,10.0,229000
Risk,Server,High,13,73.0,18.0,9.633058608058608,10.0,152000
Capital Markets,Server,High,16,72.0,22.0,9.606833062770564,10.0,201500
Wealth Management,Laptop,High,42,70.0,28.0,9.567857142857143,10.0,71900
Technology,Desktop,Medium,43,67.0,23.0,9.55968992248062,10.0,43800
Wealth Management,Server,Low,14,66.0,21.0,9.61201814058957,10.0,164500
Retail Banking,Desktop,Medium,37,64.0,12.0,9.625585585585586,10.0,37350
Capital Markets,Laptop,Low,29,63.0,10.0,9.625402298850574,10.0,53900
Data & Analytics,Laptop,Medium,32,61.0,16.0,9.64,10.0,55850
Capital Markets,Server,Medium,15,60.0,19.0,9.693904761904763,10.0,190000
Commercial Banking,Laptop,Low,37,59.0,19.0,9.579459459459459,10.0,60250
Retail Banking,Desktop,High,31,58.0,17.0,9.617956989247313,10.0,31250
Capital Markets,Laptop,High,35,57.0,14.0,9.698571428571428,10.0,60950
Technology,Firewall,High,15,55.0,15.0,9.592714285714287,10.0,295000
Operations,Server,High,13,55.0,20.0,9.59923076923077,10.0,159000
Operations,Server,Medium,13,55.0,16.0,9.620164835164836,10.0,165000
Operations,Laptop,High,26,54.0,10.0,9.586794871794872,10.0,45700
Data & Analytics,Server,High,13,53.0,27.0,9.562367632367632,10.0,162000
Risk,Laptop,Medium,32,52.0,16.0,9.757395833333334,10.0,58050
Retail Banking,Access Switch,Medium,12,51.0,12.0,9.681547619047619,10.0,71400
Human Resources,Server,Medium,11,51.0,15.0,9.673766233766234,10.0,135500
Finance,Laptop,Medium,29,50.0,14.0,9.601724137931035,10.0,50450
Risk,Server,Low,10,50.0,14.0,9.54238888888889,10.0,123000
Operations,Laptop,Medium,35,49.0,26.0,9.510285714285715,10.0,62350
Wealth Management,Laptop,Low,32,49.0,16.0,9.628125,10.0,57300
Commercial Banking,Server,Critical,13,49.0,13.0,9.727564102564104,10.0,166000
Wealth Management,Server,Critical,12,48.0,20.0,9.679166666666667,10.0,149500
Operations,Server,Critical,9,47.0,8.0,9.593756613756614,10.0,109000
Cybersecurity,Laptop,Medium,24,45.0,11.0,9.579305555555555,10.0,44900
Technology,Access Switch,Medium,13,45.0,10.0,9.627344322344323,10.0,67600
Technology,Firewall,Low,12,45.0,16.0,9.674920634920635,10.0,308000
Operations,Laptop,Low,22,44.0,12.0,9.657272727272728,10.0,39250
Cybersecurity,Server,High,11,44.0,14.0,9.647077922077923,10.0,135000
Data & Analytics,Server,Low,9,44.0,18.0,9.472822671156004,10.0,107500
Technology,Desktop,High,28,43.0,8.0,9.636309523809524,10.0,28000
Commercial Banking,Laptop,Critical,27,43.0,17.0,9.52716049382716,10.0,48750
Retail Banking,Firewall,High,11,43.0,7.0,9.696818181818182,10.0,231000
Capital Markets,Server,Low,10,43.0,16.0,9.667857142857143,10.0,122000
Legal & Compliance,Laptop,High,22,41.0,8.0,9.666666666666668,10.0,38400
Risk,Laptop,Low,24,40.0,10.0,9.519722222222223,10.0,43850
Retail Banking,Desktop,Critical,23,40.0,16.0,9.589492753623189,10.0,23350
Technology,Desktop,Low,19,40.0,10.0,9.528370927318297,10.0,19500
Risk,Server,Medium,11,40.0,16.0,9.61909090909091,10.0,136500
Capital Markets,Server,Critical,9,40.0,9.0,9.67626102292769,10.0,106000
Cybersecurity,Laptop,High,24,39.0,10.0,9.65986111111111,10.0,46300
Risk,Laptop,High,23,38.0,5.0,9.618985507246377,10.0,41000
Wealth Management,Desktop,Medium,20,37.0,13.0,9.647499999999999,10.0,20050
Human Resources,Laptop,High,19,37.0,7.0,9.621052631578948,10.0,33300
Treasury,Server,Critical,7,37.0,10.0,9.71609977324263,10.0,76500
Finance,Server,High,9,36.0,17.0,9.604691358024692,10.0,107000
Finance,Laptop,High,23,35.0,14.0,9.491304347826087,10.0,41500
Cybersecurity,Server,Critical,8,35.0,9.0,9.440416666666666,10.0,95500
Retail Banking,Wireless Access Point,Medium,12,34.0,14.0,9.628928571428572,10.0,11250
Retail Banking,Wireless Access Point,High,8,34.0,10.0,9.592291666666666,10.0,8500
Commercial Banking,Desktop,High,21,33.0,14.0,9.617777777777778,10.0,21100
Retail Banking,Access Switch,High,13,33.0,9.0,9.59897435897436,10.0,72600
Retail Banking,Firewall,Medium,11,33.0,7.0,9.718658008658009,10.0,259000
Treasury,Server,High,5,33.0,4.0,9.67990909090909,10.0,61000
Legal & Compliance,Server,Critical,8,32.0,14.0,9.49625,10.0,101500
Wealth Management,Laptop,Critical,20,31.0,9.0,9.6225,10.0,33300
Data & Analytics,Laptop,Critical,19,31.0,12.0,9.426666666666668,10.0,31950
Legal & Compliance,Laptop,Low,17,31.0,6.0,9.65,10.0,29500
Commercial Banking,Access Switch,High,8,31.0,5.0,9.695416666666667,10.0,42600
Cybersecurity,Server,Medium,7,31.0,10.0,9.558163265306122,10.0,85000
Capital Markets,Router,High,6,31.0,8.0,9.613278388278388,10.0,50200
Retail Banking,Desktop,Low,18,30.0,11.0,9.567037037037037,10.0,18500
Cybersecurity,Laptop,Low,14,30.0,6.0,9.599285714285715,10.0,22100
Operations,Desktop,Medium,14,30.0,11.0,9.437755102040816,10.0,14350
Technology,Access Switch,High,10,29.0,6.0,9.725,10.0,53000
Technology,Router,High,9,29.0,8.0,9.650687830687831,10.0,75300
Technology,Wireless Access Point,High,8,29.0,8.0,9.588541666666668,10.0,7600
Data & Analytics,Server,Critical,7,29.0,10.0,9.545504019789734,10.0,89500
Human Resources,Server,High,7,29.0,7.0,9.556666666666668,10.0,85500
Data & Analytics,Laptop,Low,16,28.0,15.0,9.418125,10.0,26750
Cybersecurity,Laptop,Critical,14,28.0,6.0,9.842857142857143,10.0,23150
Risk,Desktop,Medium,14,27.0,8.0,9.525476190476192,10.0,14350
Wealth Management,Firewall,Medium,8,27.0,9.0,9.503333333333334,10.0,260000
Retail Banking,Router,Low,5,27.0,7.0,9.615253968253969,10.0,48100
Risk,Server,Critical,5,27.0,2.0,9.572857142857142,10.0,61000
Cybersecurity,Access Switch,High,6,26.0,7.0,9.744444444444445,10.0,30200
Retail Banking,Distribution Switch,Low,6,26.0,9.0,9.610000000000001,10.0,51000
Finance,Laptop,Critical,17,25.0,9.0,9.597058823529412,10.0,30850
Treasury,Laptop,Medium,15,25.0,6.0,9.57777777777778,10.0,26550
Commercial Banking,Wireless Access Point,High,8,25.0,5.0,9.487202380952382,10.0,7450
Technology,Firewall,Medium,7,25.0,5.0,9.553333333333333,10.0,231000
Risk,Wireless Access Point,Medium,6,25.0,10.0,9.655396825396826,10.0,6300
Data & Analytics,Laptop,High,16,24.0,10.0,9.714583333333334,10.0,28050
Finance,Laptop,Low,14,24.0,4.0,9.738095238095239,10.0,25750
Operations,Desktop,High,12,24.0,7.0,9.46111111111111,10.0,12150
Technology,Router,Medium,8,24.0,6.0,9.55375,10.0,68500
