Publisher,Software_Name,Software_Version,Installation_Count,Asset_Count
Adobe,Adobe Acrobat Pro 2020,20,12670,9860
Google,Google Chrome,124,12607,9815
Microsoft,Microsoft Teams Classic,1.6,12565,9792
Microsoft,Windows 10 Enterprise,22H2,12533,9694
Microsoft,OneDrive,24.x,12515,9740
Mozilla,Firefox ESR,115,12412,9701
Microsoft,Microsoft 365 Apps for Enterprise,Current Channel,12354,9654
Microsoft,Windows 11 Enterprise,23H2,12344,9669
OpenJS Foundation,Node.js,16,1156,1074
Microsoft,.NET,8,1132,1051
Python Software Foundation,Python,3.8,1123,1031
Jenkins,Jenkins,2.401 LTS,1115,1037
Docker,Docker Desktop,4.28,1109,1026
Python Software Foundation,Python,3.10,1108,1001
Microsoft,Visual Studio Code,1.90,1105,1023
IBM,IBM SPSS Statistics,29,1095,992
Git,Git,2.43,1095,998
JetBrains,IntelliJ IDEA,2023.3,1091,1006
OpenJS Foundation,Node.js,18,1085,996
Microsoft,Power BI Desktop,2024,1083,999
Atlassian,Bitbucket Data Center,8,1080,985
DBeaver Corp,DBeaver,23,1079,992
Tableau,Tableau Desktop,2023.3,1050,966
Microsoft,.NET,6,1048,960
Anaconda,Anaconda Distribution,2023.09,1048,968
Microsoft,SQL Server,2019,548,467
Microsoft,Windows Server 2016,1607,547,465
Kubernetes,Kubernetes,1.27,539,468
Microsoft,SQL Server,2016,534,464
PostgreSQL Global Development Group,PostgreSQL,14,532,453
Canonical,Ubuntu Server,20.04 LTS,528,442
Microsoft,Windows Server 2019,1809,515,452
IBM,IBM MQ,9.2,510,448
Microsoft,Windows Server 2022,21H2,508,439
Oracle,Oracle Database,19c,506,439
Red Hat,Red Hat Enterprise Linux,9,504,433
Red Hat,Red Hat Enterprise Linux,8,495,441
Apache,Apache Tomcat,9,485,426
