Refresh_Window,Asset_Type,Region,assets,estimated_replacement_cost,avg_risk_score
0-6 months,Access Switch,Atlantic Canada,11,59200,149.5
0-6 months,Access Switch,DR Site,3,12600,146.33333333333334
0-6 months,Access Switch,Data Centre,1,7200,110.5
0-6 months,Access Switch,GTA Branches,67,379400,139.08955223880596
0-6 months,Access Switch,Ontario Regional,15,80000,133.0
0-6 months,Access Switch,Quebec,9,48800,129.61111111111111
0-6 months,Access Switch,Toronto HQ,5,26000,125.9
0-6 months,Access Switch,Western Canada,26,147200,134.69230769230768
0-6 months,Core Switch,Data Centre,1,22000,123.5
0-6 months,Core Switch,GTA Branches,8,176000,133.375
0-6 months,Core Switch,Ontario Regional,1,22000,127.0
0-6 months,Core Switch,Western Canada,2,44000,113.5
0-6 months,Desktop,Atlantic Canada,64,65050,126.453125
0-6 months,Desktop,DR Site,10,10150,124.8
0-6 months,Desktop,Data Centre,16,16300,126.34375
0-6 months,Desktop,GTA Branches,353,357500,130.07082152974505
0-6 months,Desktop,Ontario Regional,70,70900,128.75714285714287
0-6 months,Desktop,Quebec,102,103400,129.88725490196077
0-6 months,Desktop,Toronto HQ,13,13300,125.1923076923077
0-6 months,Desktop,Western Canada,111,112400,130.5855855855856
0-6 months,Distribution Switch,Atlantic Canada,1,8500,129.5
0-6 months,Distribution Switch,GTA Branches,12,102000,136.66666666666666
0-6 months,Distribution Switch,Quebec,4,34000,146.25
0-6 months,Distribution Switch,Western Canada,4,34000,138.875
0-6 months,Laptop,Atlantic Canada,139,235250,130.54676258992805
0-6 months,Laptop,DR Site,21,37500,125.0952380952381
0-6 months,Laptop,Data Centre,61,102650,128.87704918032787
0-6 months,Laptop,GTA Branches,1103,1914400,130.15276518585677
0-6 months,Laptop,Ontario Regional,185,328850,129.11891891891892
0-6 months,Laptop,Quebec,270,469600,130.1888888888889
0-6 months,Laptop,Toronto HQ,46,81000,126.96739130434783
0-6 months,Laptop,Western Canada,322,558450,127.1055900621118
0-6 months,Router,GTA Branches,8,73200,137.0625
0-6 months,Router,Quebec,1,11500,152.0
0-6 months,Router,Western Canada,2,18300,154.25
0-6 months,Server,Atlantic Canada,5,64000,140.4
0-6 months,Server,DR Site,3,31500,147.66666666666666
0-6 months,Server,Data Centre,1,11500,117.0
0-6 months,Server,GTA Branches,57,698500,146.87719298245614
0-6 months,Server,Ontario Regional,7,86000,139.35714285714286
0-6 months,Server,Quebec,11,128500,147.5909090909091
0-6 months,Server,Toronto HQ,2,22500,118.75
0-6 months,Server,Western Canada,18,228000,140.58333333333334
0-6 months,VDI Endpoint,Atlantic Canada,14,13600,129.64285714285714
0-6 months,VDI Endpoint,DR Site,3,2700,134.5
0-6 months,VDI Endpoint,Data Centre,8,8200,122.125
0-6 months,VDI Endpoint,GTA Branches,125,121900,129.108
0-6 months,VDI Endpoint,Ontario Regional,38,38400,134.51315789473685
0-6 months,VDI Endpoint,Quebec,38,38200,131.25
0-6 months,VDI Endpoint,Toronto HQ,2,2000,117.0
0-6 months,VDI Endpoint,Western Canada,42,42400,133.0
0-6 months,Wireless Access Point,Atlantic Canada,5,4750,122.6
0-6 months,Wireless Access Point,Data Centre,3,3300,139.0
0-6 months,Wireless Access Point,GTA Branches,39,40650,132.65384615384616
0-6 months,Wireless Access Point,Ontario Regional,11,11350,140.22727272727272
0-6 months,Wireless Access Point,Quebec,8,7600,132.6875
0-6 months,Wireless Access Point,Toronto HQ,1,1250,132.0
0-6 months,Wireless Access Point,Western Canada,12,13350,140.08333333333334
0-6 months,Wireless Controller,GTA Branches,1,10500,128.0
12-24 months,Access Switch,Atlantic Canada,17,101400,97.61764705882354
12-24 months,Access Switch,DR Site,3,15600,92.33333333333333
12-24 months,Access Switch,Data Centre,2,10400,100.5
12-24 months,Access Switch,GTA Branches,115,626000,97.53478260869565
12-24 months,Access Switch,Ontario Regional,19,103800,101.21052631578948
12-24 months,Access Switch,Quebec,29,168800,96.82758620689656
12-24 months,Access Switch,Toronto HQ,4,19800,85.375
12-24 months,Access Switch,Western Canada,38,203600,100.02631578947368
12-24 months,Core Switch,Atlantic Canada,1,22000,76.5
12-24 months,Core Switch,GTA Branches,21,462000,89.95238095238095
12-24 months,Core Switch,Ontario Regional,3,66000,120.66666666666667
12-24 months,Core Switch,Quebec,5,110000,88.5
12-24 months,Core Switch,Toronto HQ,1,22000,124.0
12-24 months,Core Switch,Western Canada,7,154000,93.71428571428571
12-24 months,Desktop,Atlantic Canada,85,86550,90.41764705882353
12-24 months,Desktop,DR Site,12,12250,86.375
12-24 months,Desktop,Data Centre,31,31400,90.69354838709677
12-24 months,Desktop,GTA Branches,657,666000,89.51598173515981
