Business_Unit_ID,Business_Unit_Name,Business_Criticality,Total_Assets,Past_EOL_Assets,Expiring_12M_Assets,Expiring_24M_Assets,Expiring_36M_Assets,Critical_Vulnerability_Count,High_Vulnerability_Count,Total_Replacement_Cost,Total_Downtime_Hours,Incident_Count,Avg_Risk_Score,Past_EOL_Pct,Near_Term_Exposure_Pct,Past_EOL_Assets_Norm,Expiring_12M_Assets_Norm,Critical_Vulnerability_Count_Norm,Total_Replacement_Cost_Norm,Total_Downtime_Hours_Norm,Executive_Risk_Index,Risk_Band
BU001,Retail Banking,Critical,9009,1802,3112,1280,2023,836,1684,30053950,248931.47,37808,27.01768786768787,20.0,54.55,100.0,100.0,100.0,100.0,100.0,110.0,Critical
BU002,Technology,Critical,4306,806,1542,616,993,375,824,15037550,118148.62,18113,26.80820947515095,18.72,54.53,40.89020771513353,45.10489510489511,40.43927648578811,45.49707729692159,43.102746118004276,58.46,High
BU003,Commercial Banking,High,2873,577,1036,384,649,275,541,11072950,78982.74,11957,27.197608771319178,20.08,56.14,27.299703264094955,27.412587412587413,27.51937984496124,31.107324270322362,26.063577619445194,37.28,Medium
BU004,Wealth Management,High,1895,379,664,280,415,180,348,6118200,53140.21,8016,27.21894986807388,20.0,55.04,15.548961424332344,14.405594405594405,15.245478036175712,13.123762546934744,14.820750365236474,25.19,Medium
BU005,Capital Markets,Critical,1133,214,393,179,257,112,233,3591300,32409.08,4818,27.109902912621358,18.89,53.57,5.756676557863502,4.93006993006993,6.459948320413436,3.9522277331039453,5.80164452016078,24.88,Medium
BU006,Risk Management,High,987,199,337,148,213,78,187,3388900,27451.35,4143,26.94660587639311,20.16,54.31,4.86646884272997,2.972027972027972,2.0671834625323,3.217604817151848,3.644777450140614,14.94,Low
BU007,Finance,Medium,970,193,352,127,240,75,178,3206000,27576.86,4189,27.44320618556701,19.9,56.19,4.510385756676557,3.4965034965034967,1.6795865633074936,2.5537583184975072,3.699380743574955,8.73,Low
BU008,Human Resources,Medium,720,148,252,103,172,62,128,2502400,19776.65,3047,27.34009722222222,20.56,55.56,1.8397626112759646,0.0,0.0,0.0,0.3058889462721606,6.4,Low
BU009,Operations,High,1192,247,391,167,279,116,209,4120100,33430.42,5011,27.002978187919464,20.72,53.52,7.71513353115727,4.86013986013986,6.976744186046512,5.871538987824641,6.245979853729648,17.82,Low
BU010,Legal and Compliance,High,685,117,258,83,161,64,132,2523800,19073.54,2898,26.51344525547445,17.08,54.74,0.0,0.2097902097902098,0.2583979328165375,0.07767258103446086,0.0,12.11,Low
