Asset_Type,Environment,assets,production_assets,critical_assets,avg_age_years,replacement_cost
Laptop,Test,4716,0,700,2.3774173027989822,8194500
Laptop,Development,4715,0,717,2.3806362672322376,8196300
Laptop,Production,4569,4569,687,2.3942000437732545,7931900
Desktop,Production,1508,1508,213,2.219694960212202,1529950
Desktop,Test,1507,0,204,2.1766423357664233,1525100
Server,Production,1500,1500,228,2.7658,18332000
Desktop,Development,1485,0,214,2.2452525252525253,1503100
Access Switch,Production,900,900,149,3.617777777777778,5016000
Wireless Access Point,Production,700,700,112,3.1567142857142856,701600
VDI Endpoint,Production,528,528,83,3.022348484848485,529000
VDI Endpoint,Development,512,0,79,2.9529296875,508800
VDI Endpoint,Test,460,0,74,3.001521739130435,457600
Distribution Switch,Production,300,300,49,2.973666666666667,2550000
Router,Production,250,250,37,4.5892,2278100
Firewall,Production,150,150,13,3.51,3562000
Core Switch,Production,80,80,12,4.19375,1760000
Storage,Production,40,40,10,3.2649999999999997,3640000
Wireless Controller,Production,20,20,6,4.165,210000
